text_url,hindaja1,hindaja2,hindaja3,hindaja4,hindaja5,len(skoor>=0),averageif >=0,hindaja6,hindaja7,hindaja8,hindaja9,hindaja10,len(skoor>=0)_2,averageif >=0_2
unitedkiters_ee.ela_78733.txt,0.00,0.00,0.00,1.00,2.00,5.00,0.60,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
untitled.txt,1.00,0.00,1.00,1.00,2.00,5.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
uudised_err_ee.ela_541051.txt,3.00,-1.00,-1.00,-1.00,-1.00,1.00,##,0.00,0.00,2.00,0.00,2.00,5.00,0.80
uuseesti_ee.ela_112397.txt,1.00,1.00,-1.00,0.00,2.00,4.00,1.00,2.00,3.00,3.00,2.00,3.00,5.00,2.60
valitsus_ee.ela_132104.txt,3.00,3.00,-1.00,2.00,3.00,4.00,2.75,2.00,3.00,3.00,2.00,2.00,5.00,2.40
valitsus_ee.ela_480708.txt,1.00,0.00,0.00,1.00,2.00,5.00,0.80,0.00,-1.00,-1.00,-1.00,-1.00,1.00,##
valitsus_ee.ela_604239.txt,3.00,1.00,3.00,2.00,2.00,5.00,2.20,3.00,3.00,3.00,2.00,2.00,5.00,2.60
video_usk_ee.ela_152445.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,2.00,2.00,2.00,2.00,5.00,1.60
www_3dnews_ee.ela_435253.txt,3.00,3.00,3.00,1.00,3.00,5.00,2.60,3.00,3.00,3.00,2.00,2.00,5.00,2.60
www_admiralmarkets_ee.ela_333517.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,2.00,-1.00,3.00,-1.00,-1.00,2.00,##
www_admiralmarkets_ee.ela_456804.txt,-1.00,-1.00,2.00,0.00,-1.00,2.00,##,2.00,1.00,3.00,3.00,1.00,5.00,2.00
www_advent_ee.ela_658698.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,0.00,-1.00,0.00,-1.00,3.00,0.00
www_aialeht_ee.ela_457123.txt,0.00,0.00,0.00,-1.00,-1.00,3.00,0.00,-1.00,-1.00,-1.00,2.00,-1.00,1.00,##
www_ajakiri_ut_ee.ela_429007.txt,-1.00,2.00,-1.00,-1.00,-1.00,1.00,##,-1.00,2.00,-1.00,2.00,-1.00,2.00,##
www_alphagis_ee.ela_403490.txt,-1.00,3.00,3.00,1.00,-1.00,3.00,2.33,3.00,3.00,3.00,-1.00,3.00,4.00,3.00
www_auto24_ee.ela_469677.txt,-1.00,0.00,1.00,0.00,0.00,4.00,0.25,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_autoleht_ee.ela_469280.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,3.00,2.00,3.00,2.00,-1.00,4.00,2.50
www_bioneer_ee.ela_243230.txt,3.00,3.00,2.00,2.00,2.00,5.00,2.40,3.00,-1.00,-1.00,0.00,3.00,3.00,2.00
www_bsd_ee.ela_638246.txt,3.00,3.00,3.00,2.00,2.00,5.00,2.60,-1.00,2.00,-1.00,-1.00,-1.00,1.00,##
www_delfi_ee.ela_361703.txt,0.00,0.00,0.00,0.00,2.00,5.00,0.40,3.00,-1.00,-1.00,-1.00,3.00,2.00,##
www_director_ee.ela_529643.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,-1.00,-1.00,-1.00,-1.00,1.00,##
www_dragon_ee.ela_303548.txt,0.00,0.00,0.00,-1.00,-1.00,3.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_easl_ee.ela_201171.txt,3.00,0.00,-1.00,-1.00,-1.00,2.00,##,2.00,0.00,-1.00,2.00,-1.00,3.00,1.33
www_eestigiid_ee.ela_530847.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,2.00,3.00,3.00,3.00,2.00,5.00,2.60
www_eestikirik_ee.ela_530609.txt,0.00,0.00,0.00,2.00,2.00,5.00,0.80,0.00,0.00,2.00,-1.00,0.00,4.00,0.50
www_eestisport_ee.ela_196071.txt,3.00,2.00,3.00,2.00,2.00,5.00,2.40,3.00,-1.00,2.00,3.00,2.00,4.00,2.50
www_ekspress_ee.ela_177019.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_ekspress_ee.ela_495829.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,-1.00,3.00,-1.00,-1.00,2.00,##
www_employers_ee.ela_617415.txt,3.00,1.00,1.00,-1.00,2.00,4.00,1.75,3.00,2.00,2.00,2.00,-1.00,4.00,2.25
www_emta_ee.ela_522725.txt,3.00,3.00,3.00,-1.00,-1.00,3.00,3.00,3.00,2.00,3.00,2.00,3.00,5.00,2.60
www_epl_ee.ela_495381.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,1.00,3.00,3.00,2.00,3.00,5.00,2.40
www_epl_ee.ela_679018.txt,3.00,-1.00,3.00,1.00,-1.00,3.00,2.33,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_epl_ee.ela_685672.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,0.00,2.00,2.00,1.00,5.00,1.00
www_eramets_ee.ela_479405.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,3.00,3.00,3.00,3.00,3.00,5.00,3.00
www_europarl_ee.ela_36110.txt,3.00,-1.00,-1.00,-1.00,-1.00,1.00,##,-1.00,-1.00,-1.00,-1.00,2.00,1.00,##
www_hambaarst_ee.ela_423040.txt,3.00,3.00,3.00,2.00,3.00,5.00,2.80,3.00,-1.00,3.00,3.00,3.00,4.00,3.00
www_hambaarst_ee.ela_475731.txt,3.00,2.00,3.00,-1.00,3.00,4.00,2.75,3.00,1.00,3.00,0.00,-1.00,4.00,1.75
www_helen_ee.ela_520035.txt,-1.00,1.00,2.00,3.00,3.00,4.00,2.25,-1.00,2.00,3.00,2.00,-1.00,3.00,2.33
www_horisont_ee.ela_455809.txt,3.00,2.00,2.00,-1.00,-1.00,3.00,2.33,1.00,2.00,2.00,2.00,3.00,5.00,2.00
www_horsemarket_ee.ela_436247.txt,-1.00,-1.00,-1.00,0.00,-1.00,1.00,##,0.00,0.00,-1.00,-1.00,-1.00,2.00,##
www_ilm_err_ee.ela_196894.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,-1.00,1.00,-1.00,-1.00,3.00,2.00,##
www_jeesusekristusekirik_ee.ela_65555.txt,-1.00,0.00,0.00,-1.00,-1.00,2.00,##,0.00,3.00,0.00,1.00,1.00,5.00,1.00
www_kasutatudraamat_ee.ela_68759.txt,0.00,-1.00,-1.00,-1.00,-1.00,1.00,##,0.00,0.00,0.00,0.00,0.00,5.00,0.00
www_kohus_ee.ela_34731.txt,3.00,0.00,0.00,2.00,2.00,5.00,1.40,0.00,-1.00,0.00,2.00,2.00,4.00,1.00
www_kv_ee.ela_199481.txt,3.00,3.00,3.00,3.00,3.00,5.00,3.00,3.00,3.00,3.00,2.00,-1.00,4.00,2.75
www_lapsemure_ee.ela_140896.txt,-1.00,0.00,0.00,-1.00,-1.00,2.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_le_ee.ela_240831.txt,0.00,-1.00,-1.00,-1.00,-1.00,1.00,##,0.00,2.00,3.00,2.00,2.00,5.00,1.80
www_lemmik_ee.ela_519214.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_lillelapsed_ee.ela_607751.txt,3.00,0.00,-1.00,0.00,0.00,4.00,0.75,-1.00,0.00,3.00,-1.00,2.00,3.00,1.67
www_linnaleht_ee.ela_420357.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,-1.00,-1.00,0.00,-1.00,0.00,2.00,##
www_linnateater_ee.ela_612249.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,0.00,-1.00,1.00,0.00,4.00,0.25
www_lounaleht_ee.ela_576969.txt,3.00,0.00,0.00,2.00,2.00,5.00,1.40,-1.00,-1.00,2.00,-1.00,2.00,2.00,##
www_maaleht_ee.ela_246360.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,0.00,1.00,0.00,2.00,5.00,0.60
www_med24_ee.ela_557549.txt,-1.00,0.00,0.00,-1.00,-1.00,2.00,##,0.00,0.00,-1.00,0.00,-1.00,3.00,0.00
www_meiekirik_ee.ela_286284.txt,-1.00,-1.00,-1.00,2.00,-1.00,1.00,##,-1.00,-1.00,-1.00,0.00,-1.00,1.00,##
www_mesindus_ee.ela_33384.txt,0.00,0.00,0.00,2.00,0.00,5.00,0.40,-1.00,-1.00,-1.00,0.00,2.00,2.00,##
www_mod_gov_ee.ela_178680.txt,-1.00,-1.00,-1.00,3.00,-1.00,1.00,##,-1.00,1.00,3.00,2.00,2.00,4.00,2.00
www_mulje_ee.ela_177932.txt,0.00,0.00,0.00,-1.00,-1.00,3.00,0.00,-1.00,0.00,-1.00,0.00,-1.00,2.00,##
www_naisteleht_ee.ela_355886.txt,0.00,0.00,0.00,0.00,-1.00,4.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_nami-nami_ee.ela_173054.txt,-1.00,3.00,-1.00,-1.00,2.00,2.00,##,-1.00,-1.00,-1.00,-1.00,3.00,1.00,##
www_nami-nami_ee.ela_456341.txt,-1.00,-1.00,1.00,-1.00,-1.00,1.00,##,0.00,-1.00,0.00,-1.00,2.00,3.00,0.67
www_pealinn_ee.ela_132426.txt,-1.00,-1.00,3.00,-1.00,-1.00,1.00,##,2.00,2.00,2.00,2.00,-1.00,4.00,2.00
www_politsei_ee.ela_163441.txt,3.00,3.00,1.00,-1.00,2.00,4.00,2.25,-1.00,-1.00,-1.00,-1.00,3.00,1.00,##
www_politsei_ee.ela_40109.txt,3.00,0.00,0.00,2.00,2.00,5.00,1.40,2.00,-1.00,3.00,2.00,-1.00,3.00,2.33
www_porterracing_ee.ela_609577.txt,-1.00,-1.00,-1.00,2.00,2.00,2.00,##,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_post_ee.ela_149870.txt,3.00,3.00,3.00,1.00,2.00,5.00,2.40,0.00,0.00,2.00,2.00,3.00,5.00,1.40
www_puuinfo_ee.ela_279876.txt,3.00,-1.00,2.00,2.00,2.00,4.00,2.25,2.00,0.00,3.00,-1.00,3.00,4.00,2.00
www_reklaamitrikk_ee.ela_315713.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,3.00,2.00,-1.00,1.00,4.00,1.50
www_riigikogu_ee.ela_224866.txt,2.00,0.00,-1.00,1.00,-1.00,3.00,1.00,0.00,0.00,2.00,0.00,2.00,5.00,0.80
www_seduction_ee.ela_642092.txt,0.00,0.00,0.00,-1.00,1.00,4.00,0.25,0.00,-1.00,-1.00,2.00,-1.00,2.00,##
www_sirp_ee.ela_651305.txt,-1.00,0.00,2.00,1.00,1.00,4.00,1.00,-1.00,2.00,2.00,2.00,-1.00,3.00,2.00
www_snap_ee.ela_623342.txt,-1.00,2.00,3.00,2.00,2.00,4.00,2.25,3.00,-1.00,3.00,-1.00,3.00,3.00,3.00
www_soudeliit_ee.ela_547578.txt,3.00,2.00,2.00,1.00,3.00,5.00,2.20,-1.00,2.00,-1.00,2.00,0.00,3.00,1.33
www_syndikaat_ee.ela_469373.txt,0.00,0.00,0.00,-1.00,0.00,4.00,0.00,0.00,0.00,-1.00,-1.00,0.00,3.00,0.00
www_tallegg_ee.ela_33687.txt,-1.00,0.00,2.00,-1.00,1.00,3.00,1.00,0.00,-1.00,2.00,0.00,-1.00,3.00,0.67
www_tarbijakaitse_ee.ela_199918.txt,3.00,0.00,3.00,2.00,2.00,5.00,2.00,-1.00,-1.00,-1.00,-1.00,2.00,1.00,##
www_tooelu_ee.ela_624263.txt,3.00,3.00,3.00,3.00,3.00,5.00,3.00,2.00,-1.00,3.00,2.00,-1.00,3.00,2.33
www_tootukassa_ee.ela_395777.txt,0.00,3.00,3.00,3.00,2.00,5.00,2.20,3.00,3.00,3.00,3.00,3.00,5.00,3.00
www_tuuleenergia_ee.ela_40373.txt,1.00,0.00,0.00,3.00,3.00,5.00,1.40,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_unesco_ee.ela_630384.txt,3.00,2.00,3.00,3.00,2.00,5.00,2.60,2.00,3.00,3.00,0.00,2.00,5.00,2.00
www_vm_ee.ela_81604.txt,3.00,3.00,-1.00,3.00,-1.00,3.00,3.00,-1.00,1.00,-1.00,3.00,3.00,3.00,2.33
www_vnl_ee.ela_670256.txt,3.00,0.00,-1.00,2.00,-1.00,3.00,1.67,0.00,2.00,0.00,2.00,-1.00,4.00,1.00
www_vorumaateataja_ee.ela_241120.txt,2.00,0.00,-1.00,2.00,1.00,4.00,1.25,0.00,0.00,2.00,2.00,0.00,5.00,0.80
www_vorumaateataja_ee.ela_494965.txt,2.00,1.00,-1.00,1.00,2.00,4.00,1.50,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##
www_vsport_ee.ela_120496.txt,3.00,0.00,0.00,2.00,-1.00,4.00,1.25,2.00,-1.00,-1.00,-1.00,-1.00,1.00,##
www_xn--eestimngula-q8a_ee.ela_40079.txt,3.00,3.00,1.00,1.00,2.00,5.00,2.00,2.00,0.00,3.00,0.00,1.00,5.00,1.20
ylle_mrt_ee.ela_101705.txt,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,##,0.00,-1.00,-1.00,-1.00,-1.00,1.00,##
