,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
punct,-0.65,-0.37,0.2,-0.04,0.47,-0.03,-0.13,-0.57,-0.47,-0.04,1.0,-0.3,0.22,0.07,-0.64,-0.48,-0.31,-0.49,0.53,0.01,-0.27,0.12,0.33,0.09,0.11,-0.17,0.34,0.39,-0.29,-0.3,0.56,-0.09,-0.39,-0.36,-0.18,0.47,0.14,-0.03,0.11,-0.01,0.32,-0.12,-0.08,-0.34,-0.57,-0.09,-0.35,-0.15,0.06,0.19,-0.18,-0.04,-0.16,-0.32,-0.18,-0.09,-0.34,0.05,-0.02,-0.35,0.06,-0.15,-0.4,0.01,-0.03,0.05,-0.18,-0.62,0.0,-0.2,-0.52,-0.09,-0.07,-0.07,-0.35,-0.03,-0.12,-0.3
symbol,-0.14,0.22,0.57,0.33,0.2,0.21,-0.11,0.1,0.18,-0.02,-0.3,1.0,-0.04,0.13,0.59,0.13,-0.05,0.72,-0.01,0.32,0.02,-0.07,-0.12,0.1,0.31,0.02,-0.0,-0.2,0.42,0.5,-0.18,0.11,0.4,0.16,0.53,0.2,-0.02,0.21,0.26,-0.24,-0.08,0.88,0.07,0.3,0.04,-0.15,0.13,0.04,0.35,-0.2,0.03,0.37,0.53,0.59,0.7,0.8,0.61,0.05,0.12,0.49,-0.23,0.83,0.54,-0.0,0.1,0.12,-0.16,0.16,0.61,0.19,0.27,-0.18,0.86,0.14,0.48,0.21,0.69,1.0
pron,-0.72,-0.52,-0.15,0.16,0.29,-0.1,0.13,0.33,-0.1,-0.5,0.22,-0.04,1.0,-0.3,-0.48,-0.61,0.25,-0.54,0.89,0.46,-0.2,0.77,0.12,0.68,0.42,-0.53,0.51,-0.05,0.13,-0.05,0.54,-0.19,-0.17,0.22,-0.37,0.29,-0.1,0.17,0.59,-0.31,-0.19,-0.02,-0.11,-0.31,-0.03,-0.03,0.21,-0.38,-0.14,0.08,0.1,0.03,-0.17,-0.16,-0.06,0.06,0.11,0.53,0.02,-0.23,0.03,0.1,-0.27,0.13,-0.04,0.42,0.25,-0.28,-0.3,-0.46,-0.58,-0.02,0.11,-0.24,-0.18,-0.11,-0.17,-0.03
abbr,-0.04,0.07,-0.09,0.27,0.08,0.37,-0.3,-0.21,-0.14,0.5,0.07,0.13,-0.3,1.0,0.11,-0.11,-0.26,0.24,-0.12,-0.2,-0.18,-0.04,0.32,-0.31,-0.23,-0.25,-0.2,0.38,-0.34,-0.16,-0.02,0.18,-0.06,-0.09,-0.06,0.08,0.19,-0.35,-0.45,-0.03,0.45,0.16,0.32,0.25,-0.51,-0.14,-0.0,-0.11,0.12,-0.3,-0.05,-0.01,0.02,-0.01,0.17,-0.02,-0.23,-0.03,-0.09,0.11,-0.4,-0.14,0.14,-0.37,0.27,-0.07,-0.58,-0.33,0.33,0.49,0.16,-0.43,0.19,0.14,0.26,0.38,0.16,0.13
TTR,0.54,0.61,0.23,0.15,-0.43,0.1,-0.17,0.19,0.24,0.1,-0.64,0.59,-0.48,0.11,1.0,0.68,-0.15,0.9,-0.66,-0.01,0.17,-0.44,-0.23,-0.13,-0.17,0.22,-0.35,-0.33,0.19,0.31,-0.72,0.3,0.57,-0.12,0.64,-0.43,-0.06,0.07,-0.21,-0.08,-0.29,0.53,0.25,0.16,0.46,-0.05,-0.14,0.16,0.43,-0.03,0.37,0.11,0.46,0.64,0.58,0.38,0.37,-0.31,-0.01,0.44,0.03,0.5,0.6,-0.05,0.06,-0.25,0.1,0.59,0.34,0.26,0.76,-0.03,0.33,0.13,0.27,0.1,0.44,0.59
avg_word_len,0.72,0.46,0.25,-0.31,-0.55,-0.35,-0.04,0.06,0.35,0.23,-0.48,0.13,-0.61,-0.11,0.68,1.0,0.01,0.57,-0.78,-0.06,0.31,-0.53,-0.44,-0.16,-0.19,0.45,-0.57,-0.35,0.18,0.2,-0.78,0.33,0.22,-0.17,0.63,-0.55,0.03,0.01,-0.32,0.12,-0.2,0.18,0.27,0.35,0.5,-0.26,-0.12,0.32,0.09,-0.06,0.34,-0.08,0.35,0.41,0.24,-0.0,0.21,-0.12,-0.14,0.4,0.04,0.09,0.16,-0.07,-0.35,-0.03,0.16,0.57,0.28,0.17,0.53,0.13,-0.11,0.07,0.04,-0.35,0.34,0.13
avr_sent_len,0.07,-0.44,0.12,-0.37,0.06,-0.04,0.7,0.28,0.38,-0.33,-0.31,-0.05,0.25,-0.26,-0.15,0.01,1.0,-0.21,0.08,0.0,0.35,0.34,-0.06,0.21,0.33,0.19,0.31,-0.17,0.18,0.02,-0.05,-0.07,-0.1,0.48,-0.08,0.06,-0.26,0.37,0.49,-0.42,-0.19,-0.15,-0.31,-0.09,0.49,0.06,0.42,-0.07,-0.47,0.19,-0.23,0.15,-0.11,-0.23,-0.32,-0.11,-0.01,0.44,-0.37,-0.1,-0.45,-0.07,-0.3,0.37,0.15,0.36,0.29,0.27,0.07,-0.34,-0.31,0.48,-0.07,-0.63,0.34,-0.03,-0.09,-0.05
hapax_legomena,0.41,0.61,0.36,0.2,-0.15,0.24,-0.22,0.07,0.23,0.13,-0.49,0.72,-0.54,0.24,0.9,0.57,-0.21,1.0,-0.57,-0.01,0.11,-0.41,-0.19,-0.24,-0.12,0.22,-0.33,-0.23,0.21,0.26,-0.59,0.31,0.54,-0.16,0.68,-0.15,-0.0,0.06,-0.18,-0.12,-0.14,0.63,0.18,0.29,0.21,-0.15,-0.17,0.18,0.46,-0.14,0.17,0.17,0.55,0.7,0.57,0.49,0.43,-0.22,-0.04,0.47,-0.15,0.63,0.57,-0.09,0.13,-0.28,-0.09,0.39,0.45,0.3,0.73,-0.14,0.46,0.11,0.41,0.23,0.5,0.71
coref,-0.9,-0.53,-0.02,0.22,0.61,0.08,-0.02,0.09,-0.26,-0.38,0.53,-0.01,0.89,-0.12,-0.66,-0.78,0.08,-0.57,1.0,0.37,-0.3,0.75,0.25,0.47,0.38,-0.5,0.6,0.08,0.03,-0.09,0.78,-0.25,-0.3,0.1,-0.4,0.61,-0.08,0.17,0.55,-0.28,-0.01,0.0,-0.16,-0.22,-0.34,-0.15,0.11,-0.4,-0.09,-0.0,-0.16,0.01,-0.17,-0.26,-0.12,0.05,0.09,0.48,0.08,-0.27,-0.04,0.08,-0.3,0.01,0.06,0.35,-0.03,-0.53,-0.16,-0.38,-0.66,-0.21,0.21,-0.13,-0.05,0.07,-0.12,-0.01
see_pron,-0.44,-0.28,0.17,0.3,-0.0,-0.4,0.06,0.21,-0.18,-0.22,0.01,0.32,0.46,-0.2,-0.01,-0.06,0.0,-0.01,0.37,1.0,-0.31,0.07,-0.04,0.36,0.58,-0.27,-0.0,-0.1,0.26,0.52,-0.12,0.42,-0.2,0.14,0.38,-0.0,0.6,-0.31,0.31,0.2,-0.19,0.24,0.24,-0.09,-0.07,-0.16,0.11,-0.31,-0.26,-0.08,0.24,0.43,0.39,0.08,0.1,0.55,0.11,0.4,-0.08,0.45,0.2,0.55,-0.2,0.15,-0.4,0.34,0.17,-0.4,0.15,-0.31,-0.25,0.08,0.2,-0.03,-0.15,-0.4,0.23,0.32
see_det,0.26,-0.22,0.38,-0.32,-0.11,0.04,0.21,0.2,0.83,-0.14,-0.27,0.02,-0.2,-0.18,0.17,0.31,0.35,0.11,-0.3,-0.31,1.0,0.09,-0.29,-0.16,-0.12,0.3,0.23,-0.32,-0.24,0.07,-0.24,-0.27,-0.07,0.12,0.15,-0.11,-0.37,0.33,-0.12,0.03,-0.1,-0.0,-0.11,0.12,0.48,0.07,-0.04,0.55,-0.07,0.17,-0.18,-0.24,-0.01,0.06,-0.02,-0.17,-0.05,-0.19,-0.16,0.04,-0.17,0.03,-0.1,0.21,0.15,0.06,0.17,0.39,0.31,-0.17,-0.18,0.07,-0.01,-0.27,0.22,0.03,0.09,0.02
1st_pron,-0.54,-0.42,-0.09,0.0,0.42,0.2,-0.06,0.39,0.24,-0.33,0.12,-0.07,0.77,-0.04,-0.44,-0.53,0.34,-0.41,0.75,0.07,0.09,1.0,-0.0,0.31,0.2,-0.45,0.68,-0.1,-0.08,-0.22,0.61,-0.39,-0.27,0.08,-0.36,0.42,-0.45,0.43,0.4,-0.43,-0.06,-0.12,-0.24,-0.01,0.04,-0.16,0.11,-0.25,-0.1,-0.02,-0.1,-0.31,-0.13,-0.17,-0.21,-0.19,0.11,0.48,-0.07,-0.3,-0.14,-0.06,-0.22,-0.05,0.19,0.34,0.05,-0.18,-0.16,-0.29,-0.47,-0.37,0.07,-0.28,0.22,0.19,-0.16,-0.07
2nd_pron,-0.39,-0.31,-0.12,0.36,0.24,0.09,0.13,-0.35,-0.46,-0.06,0.33,-0.12,0.12,0.32,-0.23,-0.44,-0.06,-0.19,0.25,-0.04,-0.29,-0.0,1.0,-0.11,0.03,-0.07,0.06,0.49,-0.49,0.03,0.18,0.0,-0.18,0.24,-0.24,0.24,0.15,-0.21,-0.03,-0.0,0.17,-0.14,0.24,-0.3,-0.47,0.0,0.34,-0.24,0.02,-0.08,-0.21,-0.04,0.04,-0.07,-0.08,-0.11,-0.33,-0.04,-0.06,0.08,-0.27,-0.14,0.04,0.1,0.08,-0.12,-0.32,-0.48,-0.02,-0.04,-0.07,0.21,0.16,-0.1,-0.1,0.08,-0.15,-0.12
3rd_pron,-0.4,-0.31,0.03,0.1,0.02,-0.39,0.13,0.35,-0.15,-0.4,0.09,0.1,0.68,-0.31,-0.13,-0.16,0.21,-0.24,0.47,0.36,-0.16,0.31,-0.11,1.0,0.48,-0.44,0.12,-0.19,0.53,-0.09,0.09,0.03,0.17,0.29,-0.13,0.02,-0.06,0.18,0.51,-0.37,-0.22,0.35,-0.18,-0.38,0.15,-0.11,0.27,-0.06,-0.01,0.15,0.38,0.3,-0.1,-0.07,0.34,0.16,0.14,0.56,-0.17,-0.23,-0.18,0.14,-0.15,0.15,-0.3,0.49,0.45,0.07,-0.16,-0.34,-0.28,0.18,0.1,-0.25,-0.31,-0.4,-0.01,0.1
active_voice,-0.39,-0.47,0.37,-0.19,0.16,-0.48,0.06,0.27,-0.05,-0.16,0.11,0.31,0.42,-0.23,-0.17,-0.19,0.33,-0.12,0.38,0.58,-0.12,0.2,0.03,0.48,1.0,-0.28,0.28,0.01,0.45,0.57,0.03,0.05,0.03,0.55,0.26,0.16,0.23,0.2,0.61,-0.07,0.11,0.3,-0.14,-0.14,-0.07,-0.03,0.43,-0.0,-0.31,0.41,-0.14,0.55,0.23,-0.09,0.09,0.5,-0.02,0.56,-0.29,0.38,-0.11,0.41,-0.1,0.26,-0.48,0.53,0.45,-0.26,0.1,-0.19,-0.34,0.33,0.34,-0.23,0.04,-0.47,0.24,0.31
passive_voice,0.45,0.15,0.27,-0.22,-0.2,0.13,0.28,-0.27,0.27,-0.13,-0.17,0.02,-0.53,-0.25,0.22,0.45,0.19,0.22,-0.5,-0.27,0.3,-0.45,-0.07,-0.44,-0.28,1.0,-0.21,-0.18,0.03,0.08,-0.22,-0.14,-0.1,-0.06,0.24,-0.2,-0.14,0.21,0.08,-0.05,-0.2,-0.04,0.01,0.15,0.24,0.18,-0.06,0.1,-0.01,-0.06,-0.17,-0.22,0.28,0.15,-0.12,-0.06,0.0,-0.24,0.15,0.12,-0.04,-0.02,-0.11,0.21,0.13,-0.09,-0.07,0.25,0.18,-0.08,0.23,0.24,-0.0,-0.07,0.17,0.13,0.0,0.01
1st_prs_verb,-0.56,-0.45,0.28,-0.02,0.46,0.32,0.03,0.21,0.13,-0.46,0.34,-0.0,0.51,-0.2,-0.35,-0.57,0.31,-0.33,0.6,-0.0,0.23,0.68,0.06,0.12,0.28,-0.21,1.0,-0.11,-0.19,-0.11,0.53,-0.4,-0.25,-0.05,-0.11,0.46,-0.48,0.6,0.49,-0.41,-0.1,-0.04,-0.52,-0.43,0.17,0.08,-0.16,-0.17,-0.01,0.38,-0.33,-0.07,-0.06,-0.29,-0.23,-0.04,-0.12,0.09,-0.17,-0.4,-0.02,0.13,-0.19,0.22,0.36,0.15,0.18,-0.14,0.03,-0.43,-0.46,-0.16,0.08,-0.41,0.27,0.32,-0.16,0.0
2nd_prs_verb,-0.19,-0.18,-0.18,-0.14,0.03,-0.12,0.15,-0.63,-0.25,0.48,0.39,-0.2,-0.05,0.38,-0.33,-0.35,-0.17,-0.23,0.08,-0.1,-0.32,-0.1,0.49,-0.19,0.01,-0.18,-0.11,1.0,-0.48,-0.19,0.07,0.27,-0.14,-0.03,-0.21,0.03,0.42,-0.45,-0.36,0.11,0.84,-0.25,0.04,-0.07,-0.57,0.34,0.02,-0.29,0.11,-0.05,-0.07,0.05,-0.1,0.12,0.03,0.12,-0.39,-0.27,-0.13,-0.08,-0.11,-0.18,0.19,0.33,-0.09,-0.12,-0.37,-0.32,-0.09,0.43,-0.21,0.25,-0.08,-0.07,-0.43,-0.12,-0.15,-0.2
3rd_prs_verb,0.11,0.23,0.14,-0.04,0.03,-0.19,-0.04,0.38,-0.08,-0.2,-0.29,0.42,0.13,-0.34,0.19,0.18,0.18,0.21,0.03,0.26,-0.24,-0.08,-0.49,0.53,0.45,0.03,-0.19,-0.48,1.0,0.25,-0.05,-0.03,0.46,0.32,0.16,0.03,-0.09,0.3,0.57,-0.24,-0.32,0.5,-0.24,0.14,0.2,-0.13,0.29,0.11,-0.05,0.06,0.14,0.45,0.11,0.04,0.29,0.39,0.48,0.49,0.09,0.13,-0.04,0.31,0.08,-0.09,-0.25,0.34,0.39,0.27,-0.04,-0.08,0.2,0.08,0.3,0.1,0.18,-0.18,0.23,0.42
core_verb,0.04,-0.09,0.37,0.0,-0.05,-0.36,-0.13,0.2,0.07,0.08,-0.3,0.5,-0.05,-0.16,0.31,0.2,0.02,0.26,-0.09,0.52,0.07,-0.22,0.03,-0.09,0.57,0.08,-0.11,-0.19,0.25,1.0,-0.29,0.13,0.17,0.43,0.5,-0.05,0.32,-0.03,0.18,0.35,-0.06,0.28,0.35,0.26,0.05,-0.13,0.37,0.11,-0.13,0.12,-0.1,0.3,0.41,0.24,0.21,0.5,0.21,0.1,0.05,0.88,0.2,0.52,0.24,0.09,-0.43,0.14,0.21,-0.04,0.3,0.05,0.04,0.18,0.53,0.22,0.2,-0.36,0.48,0.49
verbtype_ratio,-0.63,-0.33,-0.16,0.1,0.62,0.38,-0.15,-0.11,-0.22,-0.15,0.56,-0.18,0.54,-0.02,-0.72,-0.78,-0.05,-0.59,0.78,-0.12,-0.24,0.61,0.18,0.09,0.03,-0.22,0.53,0.07,-0.05,-0.29,1.0,-0.63,-0.32,-0.03,-0.66,0.62,-0.28,0.24,0.4,-0.15,0.08,-0.19,-0.18,-0.02,-0.46,0.03,-0.04,-0.17,-0.11,-0.02,-0.4,-0.25,-0.41,-0.43,-0.35,-0.22,0.08,0.22,0.43,-0.46,-0.01,-0.22,-0.3,-0.28,0.31,0.05,-0.27,-0.48,-0.23,-0.11,-0.53,-0.38,0.09,0.17,0.13,0.37,-0.14,-0.18
da_inf,0.13,0.13,0.07,0.06,-0.13,-0.33,0.1,-0.14,-0.29,0.18,-0.09,0.11,-0.19,0.18,0.3,0.33,-0.07,0.31,-0.25,0.42,-0.27,-0.39,0.0,0.03,0.05,-0.14,-0.4,0.27,-0.03,0.13,-0.63,1.0,0.22,-0.26,0.52,-0.13,0.62,-0.53,-0.32,0.02,0.17,0.1,0.18,-0.11,0.06,-0.27,-0.14,-0.43,0.24,-0.09,0.34,0.38,0.29,0.38,0.31,0.31,-0.06,-0.01,-0.56,0.32,0.01,0.31,0.13,0.37,-0.26,-0.09,0.08,0.07,0.13,0.03,0.16,0.25,-0.04,-0.27,-0.29,-0.32,-0.02,0.11
gerund,0.39,0.51,-0.02,-0.07,-0.04,0.07,-0.17,0.2,-0.1,0.02,-0.39,0.4,-0.17,-0.06,0.57,0.22,-0.1,0.54,-0.3,-0.2,-0.07,-0.27,-0.18,0.17,0.03,-0.1,-0.25,-0.14,0.46,0.17,-0.32,0.22,1.0,0.04,0.17,-0.04,-0.13,0.13,0.06,-0.27,-0.08,0.38,-0.06,-0.01,0.25,0.0,0.01,0.06,0.56,0.29,0.16,0.3,-0.02,0.5,0.56,0.31,0.42,-0.11,-0.05,0.19,0.04,0.38,0.63,0.11,0.07,-0.32,0.4,0.6,-0.19,0.19,0.52,0.18,0.38,0.03,0.06,0.07,0.08,0.4
supine,-0.05,-0.35,-0.07,0.0,-0.07,-0.24,0.36,0.38,0.17,-0.07,-0.36,0.16,0.22,-0.09,-0.12,-0.17,0.48,-0.16,0.1,0.14,0.12,0.08,0.24,0.29,0.55,-0.06,-0.05,-0.03,0.32,0.43,-0.03,-0.26,0.04,1.0,-0.24,-0.07,0.02,0.05,0.33,0.08,-0.0,0.13,-0.04,0.12,-0.06,0.18,0.91,0.26,-0.5,0.04,-0.32,0.38,-0.1,-0.2,-0.01,0.11,0.01,0.32,0.02,0.3,-0.39,-0.03,0.06,0.07,-0.22,0.46,0.15,-0.05,-0.04,0.01,-0.15,0.43,0.23,-0.0,0.16,-0.24,0.08,0.17
verb_particle,0.2,0.25,0.69,-0.03,-0.12,-0.26,-0.16,-0.0,0.15,-0.02,-0.18,0.53,-0.37,-0.06,0.64,0.63,-0.08,0.68,-0.4,0.38,0.15,-0.36,-0.24,-0.13,0.26,0.24,-0.11,-0.21,0.16,0.5,-0.66,0.52,0.17,-0.24,1.0,-0.12,0.17,0.12,-0.05,-0.02,-0.11,0.48,0.07,0.08,0.34,-0.33,-0.21,0.05,0.28,0.03,0.27,0.21,0.79,0.53,0.41,0.54,0.13,-0.03,-0.4,0.59,0.11,0.64,0.24,0.23,-0.31,0.06,0.18,0.2,0.57,-0.07,0.38,0.03,0.31,-0.17,0.15,-0.26,0.44,0.53
discourse,-0.57,-0.27,0.34,0.2,1.0,0.33,-0.09,-0.22,-0.26,-0.21,0.47,0.2,0.29,0.08,-0.43,-0.55,0.06,-0.15,0.61,-0.0,-0.11,0.42,0.24,0.02,0.16,-0.2,0.46,0.03,0.03,-0.05,0.62,-0.13,-0.04,-0.07,-0.12,1.0,-0.2,0.27,0.32,-0.31,0.09,0.12,-0.28,0.02,-0.31,-0.44,0.01,-0.14,0.17,-0.16,-0.38,-0.01,-0.0,-0.1,-0.04,0.09,0.21,0.32,-0.09,-0.12,-0.27,0.2,-0.09,-0.0,0.27,-0.04,-0.27,-0.32,0.23,-0.22,-0.37,-0.29,0.44,-0.16,0.37,0.33,0.05,0.21
pres_tense,-0.07,-0.18,-0.12,0.1,-0.2,-0.4,0.09,-0.29,-0.34,0.35,0.14,-0.02,-0.1,0.19,-0.06,0.03,-0.26,-0.0,-0.08,0.6,-0.37,-0.45,0.15,-0.06,0.23,-0.14,-0.48,0.42,-0.09,0.32,-0.28,0.62,-0.13,0.02,0.17,-0.2,1.0,-0.87,-0.25,0.59,0.33,-0.08,0.52,-0.01,-0.47,0.1,-0.04,-0.16,-0.28,-0.03,0.08,0.43,0.05,0.04,-0.02,0.33,-0.22,0.02,-0.03,0.43,0.11,0.2,-0.18,0.1,-0.37,-0.1,-0.1,-0.48,0.04,0.17,-0.18,0.28,-0.08,0.15,-0.39,-0.39,0.13,-0.02
