,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
punct,-0.27,-0.09,-0.21,0.06,-0.16,-0.07,-0.11,-0.19,0.06,0.1,1.0,-0.15,-0.16,-0.06,-0.2,-0.35,-0.42,-0.05,-0.07,0.01,-0.03,-0.06,-0.02,-0.09,-0.09,-0.01,-0.02,0.22,0.11,-0.11,0.07,0.21,-0.13,-0.11,-0.2,-0.13,0.04,-0.02,0.04,-0.08,0.1,-0.1,-0.11,0.18,-0.48,-0.03,-0.27,-0.02,-0.12,-0.2,-0.12,-0.02,-0.16,-0.0,-0.09,-0.05,-0.16,-0.23,0.25,-0.17,-0.05,-0.14,-0.13,-0.13,-0.08,-0.21,-0.2,-0.51,-0.22,-0.03,-0.16,-0.03,-0.16,0.21,0.34,-0.07
symbol,0.23,0.02,0.06,-0.16,0.34,0.08,-0.12,0.27,-0.06,0.23,-0.15,1.0,0.43,-0.2,0.05,0.04,0.16,0.05,0.08,-0.2,-0.08,0.02,-0.06,0.2,-0.06,-0.04,0.05,-0.01,-0.0,0.06,-0.11,-0.03,-0.13,0.29,-0.04,0.16,-0.07,0.1,-0.06,0.08,0.02,0.39,0.05,-0.13,0.21,-0.06,0.01,0.33,0.19,0.18,0.08,0.13,0.04,0.23,0.14,0.22,0.15,0.1,-0.05,0.12,0.07,0.15,0.24,-0.1,0.03,-0.12,0.08,0.25,0.11,0.34,0.13,-0.0,0.43,-0.06,0.07,0.08
particle,0.36,0.38,0.38,-0.34,0.84,0.29,-0.06,0.1,-0.09,0.1,-0.16,0.43,1.0,-0.25,0.25,0.46,0.48,0.27,0.6,-0.29,-0.36,0.2,-0.01,0.41,0.01,-0.14,0.25,-0.06,0.09,0.07,-0.18,0.03,0.06,0.35,0.14,0.22,0.03,0.0,-0.15,0.34,0.13,0.92,-0.05,0.04,0.3,0.09,0.29,0.34,0.25,0.35,0.46,0.49,0.24,0.62,0.46,0.6,0.32,0.15,0.03,-0.02,0.4,0.42,0.68,-0.08,0.22,0.02,0.4,0.39,0.42,0.21,0.42,0.07,1.0,-0.0,0.17,0.29
pron,-0.52,-0.25,-0.24,0.3,-0.15,-0.22,0.29,0.03,0.35,-0.33,-0.06,-0.2,-0.25,1.0,-0.27,-0.08,-0.41,-0.04,-0.21,0.95,0.52,0.09,0.69,0.05,0.62,0.33,-0.3,0.19,-0.12,0.07,0.46,-0.11,0.13,-0.12,0.21,-0.12,-0.11,0.18,0.34,-0.0,-0.15,-0.24,0.22,-0.01,-0.12,-0.07,-0.01,-0.22,-0.0,-0.14,-0.14,-0.14,-0.19,-0.23,-0.06,-0.01,-0.04,0.23,0.19,0.25,0.17,-0.19,-0.06,-0.07,-0.12,0.31,-0.13,-0.17,-0.09,-0.34,-0.28,0.08,-0.25,0.27,-0.35,-0.22
abbr,0.25,0.12,0.49,-0.23,0.16,0.06,-0.28,-0.17,-0.28,0.25,-0.2,0.05,0.25,-0.27,1.0,0.15,0.29,0.13,0.25,-0.27,-0.25,-0.12,-0.21,0.1,-0.06,-0.47,0.04,-0.25,-0.11,0.05,-0.36,0.01,0.04,-0.12,-0.15,-0.04,-0.12,-0.17,-0.29,-0.14,-0.08,0.27,-0.23,0.12,0.23,-0.05,0.0,0.05,-0.15,0.13,0.18,0.12,0.1,0.1,0.26,0.14,0.18,-0.01,-0.07,-0.27,0.08,0.0,0.04,-0.0,-0.01,0.04,-0.06,0.48,0.35,0.4,0.17,-0.22,0.25,-0.19,0.17,0.06
TTR,0.23,0.27,0.2,0.02,0.39,-0.11,0.03,0.08,0.12,-0.07,-0.35,0.04,0.46,-0.08,0.15,1.0,0.37,0.09,0.82,-0.18,-0.27,0.21,-0.06,0.15,0.02,-0.08,0.03,-0.1,-0.07,-0.06,-0.08,-0.26,0.08,0.17,0.06,0.24,-0.09,0.07,-0.22,0.32,-0.06,0.42,0.02,-0.06,0.27,0.1,0.25,0.06,0.13,0.17,0.24,0.21,0.16,0.21,0.29,0.24,0.3,0.08,-0.13,0.14,0.26,0.25,0.43,-0.04,-0.13,-0.03,0.31,0.27,0.3,0.01,0.29,0.12,0.46,-0.17,-0.29,-0.11
avg_word_len,0.67,0.39,0.36,-0.45,0.34,0.18,-0.16,-0.01,-0.17,-0.16,-0.42,0.16,0.48,-0.41,0.29,0.37,1.0,0.25,0.31,-0.48,-0.22,0.09,-0.29,0.12,-0.17,-0.26,0.38,-0.21,-0.12,0.03,-0.46,-0.25,0.09,0.09,-0.11,0.45,0.12,-0.11,-0.25,0.08,-0.09,0.44,-0.14,-0.15,0.55,0.3,0.16,0.28,0.06,0.28,0.37,0.27,0.25,0.24,0.32,0.15,0.23,0.08,-0.29,-0.07,0.24,0.22,0.29,0.2,0.1,-0.09,0.26,0.65,0.33,-0.05,0.29,-0.06,0.48,-0.33,0.1,0.18
avr_sent_len,0.16,0.35,0.18,-0.36,0.23,-0.1,0.04,0.08,-0.02,0.03,-0.05,0.05,0.27,-0.04,0.13,0.09,0.25,1.0,0.14,-0.07,-0.01,0.14,-0.04,0.07,-0.04,-0.14,0.41,-0.12,-0.21,0.0,-0.06,-0.26,-0.05,-0.1,0.16,0.44,-0.06,0.11,-0.15,0.13,-0.19,0.24,0.01,0.13,0.24,-0.06,0.21,0.08,0.03,0.24,0.1,0.26,0.01,0.03,0.09,0.06,0.05,0.06,-0.1,0.09,0.32,0.15,0.05,-0.03,-0.1,0.01,0.13,0.27,0.18,0.09,0.32,-0.09,0.27,-0.05,0.2,-0.1
hapax_legomena,0.21,0.21,0.33,-0.04,0.51,0.09,-0.07,0.0,-0.02,0.01,-0.07,0.08,0.6,-0.21,0.25,0.82,0.31,0.14,1.0,-0.27,-0.36,0.11,-0.11,0.22,-0.06,-0.19,0.01,-0.08,-0.1,-0.0,-0.16,-0.11,0.03,0.13,0.03,0.15,-0.13,0.02,-0.21,0.3,-0.08,0.57,-0.09,0.03,0.2,0.1,0.25,0.2,0.08,0.14,0.28,0.29,0.09,0.31,0.26,0.32,0.26,0.06,-0.03,-0.02,0.29,0.35,0.52,-0.13,0.07,-0.08,0.21,0.26,0.34,0.07,0.26,0.0,0.6,-0.1,0.03,0.09
coref,-0.63,-0.26,-0.21,0.34,-0.19,-0.19,0.28,0.01,0.35,-0.27,0.01,-0.2,-0.29,0.95,-0.27,-0.18,-0.48,-0.07,-0.27,1.0,0.46,0.08,0.76,0.01,0.62,0.34,-0.32,0.24,-0.08,0.06,0.43,-0.02,0.09,-0.14,0.26,-0.2,-0.13,0.19,0.36,-0.05,-0.11,-0.25,0.2,0.04,-0.22,-0.09,0.06,-0.19,-0.06,-0.18,-0.19,-0.16,-0.2,-0.24,-0.13,-0.05,-0.06,0.23,0.21,0.19,0.05,-0.21,-0.12,-0.1,-0.1,0.36,-0.16,-0.28,-0.15,-0.3,-0.3,0.07,-0.29,0.27,-0.28,-0.19
see_pron,-0.23,-0.18,-0.31,0.18,-0.36,-0.15,0.32,-0.03,0.17,-0.29,-0.03,-0.08,-0.36,0.52,-0.25,-0.27,-0.22,-0.01,-0.36,0.46,1.0,-0.0,0.2,-0.16,0.11,0.33,-0.16,-0.02,-0.03,0.14,0.39,-0.22,0.15,-0.12,-0.02,0.06,0.24,-0.09,0.17,0.03,-0.04,-0.32,0.14,0.03,-0.15,0.04,-0.15,-0.18,-0.09,-0.34,-0.27,-0.26,-0.11,-0.26,-0.08,-0.13,-0.03,0.01,0.39,0.29,-0.07,-0.15,-0.28,-0.02,-0.07,-0.01,-0.31,-0.18,-0.11,-0.26,-0.28,0.1,-0.36,0.39,-0.19,-0.15
see_det,-0.04,-0.02,0.13,-0.1,0.22,-0.16,0.17,0.03,0.64,-0.12,-0.06,0.02,0.2,0.09,-0.12,0.21,0.09,0.14,0.11,0.08,-0.0,1.0,0.13,0.04,0.1,-0.03,0.15,0.19,-0.09,-0.09,0.04,0.12,-0.02,-0.03,0.02,0.01,-0.01,0.06,0.15,0.18,-0.08,0.19,0.1,0.05,0.13,0.0,0.11,-0.04,0.05,0.11,0.17,0.02,0.15,0.09,0.08,0.02,0.06,0.13,0.08,0.15,0.24,0.04,0.1,-0.01,-0.14,0.07,0.15,0.07,0.13,-0.05,0.06,-0.03,0.2,0.02,-0.2,-0.16
1st_pron,-0.35,-0.14,-0.19,0.19,0.0,-0.11,0.28,0.16,0.35,-0.19,-0.02,-0.06,-0.01,0.69,-0.21,-0.06,-0.29,-0.04,-0.11,0.76,0.2,0.13,1.0,-0.05,0.3,0.2,-0.23,0.41,-0.04,-0.06,0.32,0.04,0.04,-0.02,0.13,-0.14,-0.12,0.16,0.27,-0.1,-0.04,-0.05,0.18,-0.02,-0.03,-0.04,0.12,-0.06,-0.07,-0.1,-0.11,-0.07,-0.11,-0.07,-0.02,0.09,0.06,0.21,0.11,0.16,-0.07,-0.01,0.06,-0.05,-0.04,0.19,-0.06,-0.11,-0.18,-0.2,-0.14,0.15,-0.01,0.1,-0.14,-0.11
2nd_pron,0.05,0.1,0.04,0.04,0.62,0.14,0.16,-0.12,-0.08,-0.0,-0.09,0.2,0.41,0.05,0.1,0.15,0.12,0.07,0.22,0.01,-0.16,0.04,-0.05,1.0,0.05,0.01,0.0,-0.06,0.15,-0.15,0.04,-0.1,0.14,0.17,0.37,0.02,0.15,-0.19,-0.16,0.37,0.09,0.34,0.09,-0.0,0.04,0.04,0.34,0.09,0.08,0.12,0.19,0.2,-0.01,0.24,0.12,0.27,0.01,0.05,0.01,0.16,0.11,0.04,0.41,-0.04,0.13,0.08,0.01,0.16,0.21,0.04,0.13,0.17,0.41,0.06,0.02,0.13
3rd_pron,-0.34,-0.16,0.09,0.09,-0.01,-0.18,0.03,0.08,0.13,-0.11,-0.09,-0.06,0.01,0.62,-0.06,0.02,-0.17,-0.04,-0.06,0.62,0.11,0.1,0.3,0.05,1.0,0.2,-0.11,-0.01,-0.05,0.14,0.08,0.01,-0.01,-0.03,0.24,-0.09,-0.21,0.27,0.23,0.05,-0.06,0.06,0.09,-0.04,-0.04,-0.19,0.04,0.05,0.15,0.03,0.18,0.01,0.03,0.07,0.04,0.14,0.0,0.24,-0.0,0.02,0.06,-0.14,0.06,-0.13,-0.13,0.46,0.26,-0.02,0.04,-0.12,-0.13,-0.08,0.01,0.04,-0.23,-0.18
active_voice,-0.3,-0.13,-0.42,0.34,-0.07,-0.02,0.36,0.0,0.17,-0.3,-0.01,-0.04,-0.14,0.33,-0.47,-0.08,-0.26,-0.14,-0.19,0.34,0.33,-0.03,0.2,0.01,0.2,1.0,-0.38,0.23,0.35,0.18,0.43,0.02,-0.09,0.04,0.34,0.15,0.36,0.15,0.35,0.19,0.33,-0.17,0.28,-0.19,-0.23,-0.02,0.12,-0.15,-0.01,-0.14,-0.21,-0.05,-0.09,0.08,-0.21,-0.03,-0.11,0.29,0.04,0.42,-0.03,-0.05,-0.03,0.16,0.08,0.24,-0.11,-0.43,-0.24,-0.34,-0.23,0.22,-0.14,0.13,-0.25,-0.02
passive_voice,0.46,0.4,0.09,-0.49,0.16,0.1,-0.11,-0.04,0.09,-0.04,-0.02,0.05,0.25,-0.3,0.04,0.03,0.38,0.41,0.01,-0.32,-0.16,0.15,-0.23,0.0,-0.11,-0.38,1.0,-0.19,-0.04,-0.19,-0.25,-0.21,-0.08,0.02,-0.13,0.55,0.01,0.15,-0.21,-0.07,-0.01,0.2,-0.13,0.07,0.14,0.2,-0.09,0.22,0.03,0.26,0.25,0.22,0.21,0.13,0.13,0.09,0.08,-0.33,-0.11,-0.09,0.15,0.08,0.06,0.27,0.03,-0.05,0.2,0.23,0.14,0.01,0.25,-0.12,0.25,-0.08,0.33,0.1
1st_prs_verb,-0.18,-0.13,-0.24,0.24,-0.05,-0.08,0.17,-0.0,0.35,-0.15,0.22,-0.01,-0.06,0.19,-0.25,-0.1,-0.21,-0.12,-0.08,0.24,-0.02,0.19,0.41,-0.06,-0.01,0.23,-0.19,1.0,-0.07,-0.39,0.23,0.09,-0.04,-0.1,0.08,-0.15,-0.16,0.24,0.37,-0.08,-0.07,-0.1,0.08,-0.36,0.0,0.19,0.14,-0.19,-0.04,-0.04,-0.09,-0.14,0.07,0.01,-0.12,-0.02,-0.02,-0.17,-0.07,-0.02,-0.16,-0.04,-0.04,0.25,-0.05,0.15,-0.06,-0.19,-0.17,-0.13,-0.02,0.09,-0.06,-0.06,-0.11,-0.09
2nd_prs_verb,-0.02,-0.01,-0.18,0.07,0.09,0.21,0.1,-0.07,-0.11,-0.02,0.11,-0.0,0.09,-0.12,-0.11,-0.07,-0.12,-0.21,-0.1,-0.08,-0.03,-0.09,-0.04,0.15,-0.05,0.35,-0.04,-0.07,1.0,-0.37,-0.1,0.23,-0.04,0.26,-0.04,-0.09,0.44,-0.19,-0.49,0.16,0.99,0.06,0.07,-0.01,-0.29,-0.05,-0.02,-0.09,-0.07,-0.13,0.07,0.19,0.24,0.48,-0.02,0.0,0.17,-0.21,-0.1,-0.03,-0.12,-0.06,0.12,0.3,0.2,0.2,0.1,-0.29,-0.1,-0.0,-0.02,0.23,0.09,-0.09,0.13,0.21
3rd_prs_verb,-0.06,-0.17,0.19,0.01,0.0,0.08,-0.09,0.13,-0.1,-0.03,-0.11,0.06,0.07,0.07,0.05,-0.06,0.03,0.0,-0.0,0.06,0.14,-0.09,-0.06,-0.15,0.14,0.18,-0.19,-0.39,-0.37,1.0,0.07,0.19,-0.11,-0.04,0.07,-0.07,-0.14,0.19,0.57,-0.14,-0.35,0.09,-0.26,0.31,0.03,-0.22,-0.11,0.17,0.06,0.03,-0.08,0.04,-0.38,-0.13,0.03,0.1,-0.06,0.65,0.18,-0.04,0.21,0.01,-0.01,-0.27,0.09,-0.17,-0.06,0.04,0.16,-0.08,-0.16,-0.13,0.07,0.17,-0.06,0.08
core_verb,-0.43,-0.1,-0.41,0.39,-0.06,-0.18,0.26,0.06,0.27,-0.22,0.07,-0.11,-0.18,0.46,-0.36,-0.08,-0.46,-0.06,-0.16,0.43,0.39,0.04,0.32,0.04,0.08,0.43,-0.25,0.23,-0.1,0.07,1.0,-0.23,0.34,0.13,0.32,-0.05,0.14,-0.0,0.35,0.22,-0.13,-0.23,0.29,0.01,-0.34,-0.03,0.05,-0.15,0.04,-0.19,-0.31,-0.16,-0.17,-0.18,-0.13,0.06,-0.19,-0.01,0.41,0.55,-0.01,0.14,0.08,-0.2,-0.12,0.16,-0.31,-0.37,-0.27,-0.29,-0.12,0.28,-0.18,0.56,-0.19,-0.18
verbtype_ratio,-0.2,-0.35,0.29,-0.03,-0.04,0.09,-0.17,-0.06,-0.01,0.32,0.21,-0.03,0.03,-0.11,0.01,-0.26,-0.25,-0.26,-0.11,-0.02,-0.22,0.12,0.04,-0.1,0.01,0.02,-0.21,0.09,0.23,0.19,-0.23,1.0,-0.41,-0.17,-0.1,-0.53,-0.22,0.17,0.24,-0.1,0.25,0.07,-0.16,0.1,-0.07,-0.17,-0.01,-0.0,-0.05,0.14,0.13,-0.02,-0.08,0.2,0.05,-0.08,0.04,0.14,-0.01,-0.4,-0.06,-0.12,-0.1,0.02,0.08,-0.03,0.27,-0.17,0.02,0.32,-0.11,-0.25,0.03,-0.06,-0.02,0.09
da_inf,-0.11,0.2,-0.08,0.07,0.14,0.13,0.14,-0.08,-0.08,-0.26,-0.13,-0.13,0.06,0.13,0.04,0.08,0.09,-0.05,0.03,0.09,0.15,-0.02,0.04,0.14,-0.01,-0.09,-0.08,-0.04,-0.04,-0.11,0.34,-0.41,1.0,0.32,0.16,-0.11,0.26,-0.4,-0.1,0.29,-0.06,-0.02,0.09,-0.16,-0.14,0.32,0.08,-0.03,0.03,-0.04,-0.15,-0.07,0.08,-0.01,-0.04,0.24,-0.01,-0.07,0.05,0.14,0.09,0.37,0.15,0.02,0.13,0.21,-0.13,-0.05,-0.08,-0.29,0.12,0.36,0.06,0.17,-0.01,0.13
gerund,0.1,0.18,-0.14,0.05,0.38,0.19,0.12,0.13,-0.11,-0.13,-0.11,0.29,0.35,-0.12,-0.12,0.17,0.09,-0.1,0.13,-0.14,-0.12,-0.03,-0.02,0.17,-0.03,0.04,0.02,-0.1,0.26,-0.04,0.13,-0.17,0.32,1.0,0.16,-0.0,0.22,-0.2,-0.17,0.2,0.26,0.28,0.16,-0.05,-0.12,0.18,0.06,0.04,0.14,-0.07,0.02,0.26,0.09,0.18,0.1,0.39,0.12,-0.0,0.06,0.19,0.09,0.37,0.34,0.01,0.16,0.07,0.08,-0.09,0.01,-0.1,0.18,0.58,0.35,0.11,0.04,0.19
supine,-0.19,0.03,-0.07,0.11,0.28,0.12,0.22,0.04,-0.01,-0.11,-0.2,-0.04,0.14,0.21,-0.15,0.06,-0.11,0.16,0.03,0.26,-0.02,0.02,0.13,0.37,0.24,0.34,-0.13,0.08,-0.04,0.07,0.32,-0.1,0.16,0.16,1.0,-0.17,0.09,-0.07,0.24,0.29,-0.06,0.06,0.17,-0.06,-0.1,0.03,0.65,-0.02,0.09,0.0,0.02,0.13,-0.03,0.08,-0.07,0.28,-0.21,0.16,0.04,0.21,-0.02,0.09,0.15,-0.06,0.16,0.42,0.03,-0.12,-0.03,-0.14,0.1,0.23,0.14,0.11,0.0,0.13
verb_particle,0.42,0.53,-0.13,-0.3,0.16,-0.04,0.02,0.02,0.07,-0.16,-0.13,0.16,0.22,-0.12,-0.04,0.24,0.45,0.44,0.15,-0.2,0.06,0.01,-0.14,0.02,-0.09,0.15,0.55,-0.15,-0.09,-0.07,-0.05,-0.53,-0.11,-0.0,-0.17,1.0,0.2,0.18,-0.25,0.03,-0.07,0.19,0.01,-0.13,0.26,0.17,-0.15,0.21,0.11,0.19,0.09,0.19,0.12,0.05,0.19,0.08,0.11,-0.14,-0.12,0.31,0.25,0.18,0.13,0.2,-0.08,-0.12,0.04,0.24,0.07,-0.09,0.19,-0.05,0.22,-0.07,0.09,-0.04
pres_tense,0.15,0.21,-0.45,0.16,0.1,0.2,0.26,-0.09,-0.04,-0.27,0.04,-0.07,0.03,-0.11,-0.12,-0.09,0.12,-0.06,-0.13,-0.13,0.24,-0.01,-0.12,0.15,-0.21,0.36,0.01,-0.16,0.44,-0.14,0.14,-0.22,0.26,0.22,0.09,0.2,1.0,-0.78,-0.26,0.34,0.42,-0.0,0.24,-0.15,-0.2,0.14,0.09,-0.08,0.04,-0.07,-0.16,0.04,0.1,0.12,-0.08,0.04,0.0,-0.13,0.17,0.24,0.0,0.03,0.03,0.12,0.19,0.02,-0.27,-0.18,-0.31,-0.25,-0.05,0.39,0.03,0.23,0.14,0.21
past_tense,-0.14,-0.13,0.22,-0.15,-0.09,-0.19,-0.09,0.07,0.2,0.06,-0.02,0.1,0.0,0.18,-0.17,0.07,-0.11,0.11,0.02,0.19,-0.09,0.06,0.16,-0.19,0.27,0.15,0.15,0.24,-0.19,0.19,-0.0,0.17,-0.4,-0.2,-0.07,0.18,-0.78,1.0,0.39,-0.28,-0.17,0.0,-0.13,0.05,0.13,-0.08,-0.15,0.09,-0.04,0.1,0.14,0.02,-0.07,0.01,0.03,-0.04,0.01,0.2,-0.2,-0.02,0.06,-0.03,-0.01,0.12,-0.15,0.07,0.3,-0.0,0.23,0.05,-0.01,-0.32,0.0,-0.2,-0.2,-0.19
