,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
punct,-0.68,-0.11,-0.06,0.66,0.22,0.62,0.06,-0.23,0.24,-0.48,1.0,-0.37,0.04,-0.34,-0.46,-0.78,0.04,0.01,0.2,0.12,0.63,0.65,-0.22,0.05,-0.04,-0.73,0.32,0.16,0.2,0.38,0.75,0.07,0.05,0.12,-0.6,0.22,0.38,-0.61,0.64,-0.37,0.05,0.25,0.42,0.7,-0.64,-0.52,0.09,0.55,0.56,-0.84,-0.77,0.08,0.08,0.28,0.2,-0.15,0.04,-0.1,0.84,-0.49,0.33,0.16,0.45,-0.73,0.55,0.58,-0.88,-0.53,-0.24,-0.71,-0.08,0.49,0.26,0.85,0.28,0.62,0.25,0.25
symbol,0.81,-0.37,0.31,-0.21,0.46,-0.0,-0.13,0.17,-0.36,0.34,-0.37,1.0,-0.23,0.85,0.02,0.54,0.13,0.01,-0.49,-0.13,-0.12,-0.15,0.32,0.04,-0.72,0.24,0.1,-0.59,-0.29,-0.44,-0.06,-0.13,0.32,-0.53,0.09,0.46,-0.34,-0.06,-0.6,-0.27,-0.48,0.55,0.01,-0.32,0.75,-0.08,-0.62,-0.22,0.26,0.18,0.64,-0.0,0.12,0.12,0.5,0.94,-0.1,-0.35,-0.0,-0.18,-0.31,0.3,0.07,-0.01,0.05,-0.64,0.05,0.9,0.59,0.73,-0.37,-0.25,0.45,-0.06,0.16,-0.03,0.55,0.55
pron,-0.5,-0.47,-0.23,0.18,-0.76,-0.62,0.35,-0.58,-0.46,0.28,0.04,-0.23,1.0,-0.04,-0.3,-0.41,-0.27,-0.5,0.95,0.22,-0.27,0.14,0.64,0.83,-0.07,-0.42,-0.07,0.78,-0.32,0.33,0.04,0.15,-0.37,0.44,-0.56,-0.76,-0.28,-0.15,0.07,0.3,0.27,-0.66,-0.05,0.01,-0.36,0.03,0.64,-0.46,-0.04,-0.25,0.12,-0.41,-0.09,-0.01,-0.21,-0.3,-0.29,-0.06,-0.12,0.4,0.46,-0.72,0.2,0.1,-0.39,0.49,-0.06,-0.11,-0.24,0.15,0.05,0.28,-0.44,-0.27,-0.69,-0.64,-0.67,-0.67
abbr,0.66,-0.58,0.42,-0.35,0.24,-0.12,-0.08,-0.14,-0.39,0.65,-0.34,0.85,-0.04,1.0,-0.3,0.33,0.34,-0.33,-0.33,0.25,-0.04,-0.22,0.29,0.19,-0.69,0.02,-0.31,-0.46,-0.17,-0.34,0.11,-0.13,-0.1,-0.23,-0.18,0.24,-0.26,-0.26,-0.57,-0.02,-0.22,0.22,0.04,-0.01,0.58,-0.2,-0.33,-0.26,0.11,0.1,0.54,0.08,-0.27,-0.09,0.4,0.67,-0.17,-0.11,-0.08,0.03,-0.52,-0.14,-0.28,-0.17,-0.01,-0.42,-0.02,0.87,0.64,0.85,-0.36,-0.43,0.14,-0.17,0.28,-0.12,0.23,0.23
TTR,0.39,0.56,-0.05,-0.41,0.16,-0.29,0.33,0.23,0.2,-0.21,-0.46,0.02,-0.3,-0.3,1.0,0.71,-0.04,0.74,-0.26,-0.41,-0.43,-0.29,-0.05,-0.12,0.56,0.59,0.24,-0.09,0.17,-0.48,-0.41,0.01,0.19,-0.39,0.8,0.16,0.08,0.7,0.14,0.12,-0.18,0.23,-0.11,-0.53,0.35,0.81,-0.19,-0.37,-0.14,0.49,0.4,0.15,0.66,0.37,-0.54,0.12,0.35,0.27,-0.36,-0.01,0.22,0.25,0.23,0.85,-0.36,-0.36,0.73,0.03,0.05,-0.03,-0.0,-0.05,0.21,-0.38,-0.45,-0.32,0.22,0.22
avg_word_len,0.89,0.41,0.32,-0.75,0.17,-0.33,-0.03,0.21,0.01,0.16,-0.78,0.54,-0.41,0.33,0.71,1.0,0.17,0.36,-0.55,-0.18,-0.46,-0.33,-0.03,-0.23,0.02,0.79,-0.06,-0.48,-0.04,-0.78,-0.52,-0.21,0.06,-0.64,0.84,0.17,-0.34,0.72,-0.52,0.03,-0.45,0.24,-0.29,-0.66,0.87,0.57,-0.57,-0.38,-0.19,0.74,0.78,0.07,0.37,0.12,-0.1,0.49,0.27,0.05,-0.56,-0.01,-0.3,0.19,-0.08,0.68,-0.4,-0.77,0.79,0.66,0.46,0.51,0.07,-0.57,0.09,-0.59,-0.16,-0.35,0.24,0.24
avr_sent_len,0.25,0.07,0.92,-0.46,0.23,0.19,0.35,-0.41,-0.01,0.08,0.04,0.13,-0.27,0.34,-0.04,0.17,1.0,0.17,-0.38,0.8,0.1,-0.11,-0.38,-0.23,0.08,-0.09,-0.45,-0.58,0.68,-0.61,0.22,-0.58,-0.47,-0.13,0.13,0.23,0.25,-0.11,-0.05,0.47,-0.34,0.23,-0.24,0.15,0.34,0.28,-0.09,0.04,-0.24,-0.18,0.22,0.56,-0.28,0.46,0.12,0.09,0.76,0.6,0.01,-0.47,-0.41,-0.1,-0.33,-0.17,0.38,-0.35,0.03,0.26,0.84,0.12,0.29,-0.63,0.09,-0.17,0.44,0.18,0.23,0.23
hapax_legomena,0.15,0.41,0.06,0.02,0.6,0.16,0.5,0.41,0.02,-0.33,0.01,0.01,-0.5,-0.33,0.74,0.36,0.17,1.0,-0.44,-0.26,-0.27,-0.15,-0.37,-0.36,0.51,0.12,0.55,-0.29,0.59,-0.38,-0.2,0.11,0.49,-0.37,0.51,0.6,0.53,0.17,0.37,0.05,-0.13,0.6,-0.17,-0.22,0.12,0.56,-0.22,-0.16,-0.09,-0.1,0.1,0.59,0.57,0.66,-0.33,0.21,0.58,0.4,0.01,-0.51,0.39,0.59,0.33,0.35,0.22,-0.21,0.21,-0.2,0.19,-0.27,-0.02,0.21,0.5,0.06,-0.02,0.15,0.59,0.59
coref,-0.7,-0.31,-0.37,0.31,-0.78,-0.5,0.3,-0.52,-0.25,0.06,0.2,-0.49,0.95,-0.33,-0.26,-0.55,-0.38,-0.44,1.0,0.12,-0.15,0.22,0.53,0.74,0.11,-0.43,-0.01,0.89,-0.29,0.48,0.08,0.19,-0.33,0.53,-0.54,-0.78,-0.17,-0.12,0.27,0.25,0.35,-0.7,0.03,0.09,-0.57,0.0,0.72,-0.29,-0.01,-0.28,-0.13,-0.44,-0.04,-0.04,-0.29,-0.51,-0.29,-0.06,-0.02,0.4,0.55,-0.65,0.25,0.08,-0.34,0.63,-0.12,-0.39,-0.47,-0.14,0.1,0.41,-0.45,-0.13,-0.68,-0.51,-0.7,-0.7
see_pron,-0.12,-0.09,0.75,-0.32,-0.26,-0.07,0.32,-0.63,-0.23,0.25,0.12,-0.13,0.22,0.25,-0.41,-0.18,0.8,-0.26,0.12,1.0,-0.02,0.08,-0.25,0.03,0.0,-0.35,-0.52,-0.12,0.5,-0.33,0.16,-0.44,-0.71,0.14,-0.21,-0.26,0.05,-0.22,-0.13,0.55,-0.1,-0.29,-0.4,0.24,0.07,0.06,0.23,-0.05,-0.37,-0.32,0.13,0.34,-0.5,0.22,0.1,-0.22,0.54,0.49,-0.13,-0.26,-0.24,-0.51,-0.36,-0.3,0.19,0.01,-0.09,0.1,0.59,0.13,0.5,-0.55,-0.38,-0.29,0.24,-0.07,-0.28,-0.28
see_det,-0.21,-0.09,0.06,0.32,0.25,0.78,-0.46,-0.16,0.69,-0.48,0.63,-0.12,-0.27,-0.04,-0.43,-0.46,0.1,-0.27,-0.15,-0.02,1.0,0.27,-0.05,-0.13,-0.22,-0.16,-0.25,-0.25,-0.13,0.35,0.79,-0.33,-0.09,0.2,-0.34,0.25,0.14,-0.35,0.33,-0.37,-0.14,0.3,0.73,0.57,-0.3,-0.52,-0.07,0.84,0.59,-0.25,-0.68,-0.24,-0.2,-0.13,0.42,-0.08,-0.18,-0.26,0.82,-0.11,-0.41,0.21,-0.01,-0.61,0.52,0.11,-0.6,-0.17,-0.13,-0.5,-0.27,0.09,0.41,0.75,0.54,0.78,0.31,0.31
1st_pron,-0.34,0.23,0.03,0.24,-0.11,0.25,-0.19,-0.34,0.19,-0.39,0.65,-0.15,0.14,-0.22,-0.29,-0.33,-0.11,-0.15,0.22,0.08,0.27,1.0,-0.2,0.1,-0.28,-0.37,0.41,0.22,-0.18,-0.06,0.41,0.02,-0.09,-0.44,-0.24,-0.11,-0.31,-0.04,0.12,-0.65,-0.3,0.06,0.12,0.31,-0.15,-0.49,-0.36,0.33,0.6,-0.44,-0.3,-0.26,0.43,0.19,0.28,0.1,0.03,-0.45,0.45,-0.51,0.33,0.05,0.67,-0.46,0.03,0.35,-0.54,-0.11,-0.18,-0.44,0.26,0.11,-0.1,0.48,-0.06,0.22,0.06,0.06
2nd_pron,0.04,-0.6,-0.23,0.18,-0.35,-0.38,0.09,-0.25,-0.29,0.14,-0.22,0.32,0.64,0.29,-0.05,-0.03,-0.38,-0.37,0.53,-0.25,-0.05,-0.2,1.0,0.73,-0.39,0.05,-0.05,0.3,-0.68,0.27,0.05,-0.07,0.04,0.28,-0.33,-0.35,-0.41,-0.05,-0.12,0.1,-0.08,-0.14,0.3,-0.31,0.04,0.1,0.3,-0.32,0.24,0.09,0.34,-0.63,0.03,0.0,0.1,0.21,-0.47,-0.39,0.08,0.47,0.14,-0.26,0.21,0.26,-0.23,-0.06,0.07,0.31,-0.08,0.37,-0.4,0.3,0.19,-0.14,-0.57,-0.43,-0.15,-0.15
3rd_pron,-0.25,-0.59,-0.24,0.05,-0.45,-0.59,0.43,-0.64,-0.3,0.36,0.05,0.04,0.83,0.19,-0.12,-0.23,-0.23,-0.36,0.74,0.03,-0.13,0.1,0.73,1.0,-0.11,-0.4,-0.05,0.65,-0.34,0.2,0.33,0.26,-0.33,0.25,-0.54,-0.45,-0.16,-0.2,0.24,0.12,0.25,-0.36,0.36,0.18,-0.25,0.05,0.45,-0.55,0.32,-0.21,0.16,-0.31,0.16,0.09,-0.32,-0.0,-0.4,-0.03,0.06,0.4,0.38,-0.66,0.33,0.19,-0.47,0.45,-0.06,0.1,-0.15,0.27,-0.41,0.32,-0.14,-0.12,-0.67,-0.61,-0.36,-0.36
active_voice,-0.34,0.48,-0.18,-0.17,-0.12,-0.21,0.47,0.02,0.28,-0.15,-0.04,-0.72,-0.07,-0.69,0.56,0.02,0.08,0.51,0.11,0.0,-0.22,-0.28,-0.39,-0.11,1.0,0.05,-0.07,0.32,0.59,0.01,-0.17,0.19,-0.2,0.27,0.36,-0.12,0.58,0.29,0.61,0.48,0.45,-0.26,-0.1,0.08,-0.38,0.6,0.47,-0.19,-0.44,0.1,-0.23,0.41,0.14,0.13,-0.84,-0.67,0.35,0.74,-0.3,0.16,0.28,-0.16,-0.14,0.5,-0.2,0.3,0.42,-0.66,-0.28,-0.43,0.17,0.11,-0.23,-0.25,-0.24,-0.18,-0.27,-0.27
passive_voice,0.67,0.55,0.11,-0.54,-0.06,-0.11,-0.42,0.34,0.35,-0.18,-0.73,0.24,-0.42,0.02,0.59,0.79,-0.09,0.12,-0.43,-0.35,-0.16,-0.37,0.05,-0.4,0.05,1.0,-0.21,-0.41,-0.32,-0.4,-0.56,-0.4,0.09,-0.31,0.85,-0.06,-0.47,0.84,-0.52,0.01,-0.44,0.06,-0.17,-0.73,0.67,0.44,-0.4,0.04,-0.23,0.91,0.47,-0.34,0.15,-0.2,0.06,0.15,0.08,-0.2,-0.44,0.23,-0.45,0.27,-0.23,0.62,-0.29,-0.76,0.76,0.39,0.11,0.2,0.2,-0.49,0.05,-0.47,-0.11,-0.13,0.05,0.05
1st_prs_verb,-0.16,0.1,-0.38,0.55,0.38,0.14,0.17,0.44,-0.26,-0.33,0.32,0.1,-0.07,-0.31,0.24,-0.06,-0.45,0.55,-0.01,-0.52,-0.25,0.41,-0.05,-0.05,-0.07,-0.21,1.0,0.13,-0.03,0.05,-0.13,0.45,0.76,-0.43,-0.01,0.38,0.09,-0.09,0.21,-0.52,-0.11,0.46,-0.09,-0.16,-0.11,-0.09,-0.32,-0.08,0.34,-0.39,-0.06,0.08,0.69,0.42,0.05,0.38,0.02,-0.34,0.25,-0.5,0.76,0.59,0.79,-0.04,0.14,0.15,-0.3,-0.21,-0.24,-0.28,-0.09,0.64,0.37,0.4,-0.22,0.12,0.46,0.46
2nd_prs_verb,-0.7,-0.16,-0.66,0.27,-0.67,-0.55,0.26,-0.3,-0.15,0.15,0.16,-0.59,0.78,-0.46,-0.09,-0.48,-0.58,-0.29,0.89,-0.12,-0.25,0.22,0.3,0.65,0.32,-0.41,0.13,1.0,-0.22,0.53,0.01,0.56,-0.22,0.44,-0.41,-0.67,-0.02,-0.04,0.41,0.08,0.62,-0.71,0.1,0.21,-0.67,-0.04,0.64,-0.36,-0.0,-0.18,-0.25,-0.29,0.12,-0.21,-0.57,-0.57,-0.43,0.01,-0.14,0.49,0.63,-0.6,0.25,0.18,-0.54,0.81,-0.04,-0.53,-0.71,-0.19,-0.04,0.51,-0.55,-0.1,-0.69,-0.54,-0.71,-0.71
3rd_prs_verb,-0.14,0.2,0.39,-0.13,0.37,0.15,0.6,-0.01,-0.07,0.04,0.2,-0.29,-0.32,-0.17,0.17,-0.04,0.68,0.59,-0.29,0.5,-0.13,-0.18,-0.68,-0.34,0.59,-0.32,-0.03,-0.22,1.0,-0.29,0.05,0.02,-0.13,0.03,0.12,0.37,0.77,-0.22,0.41,0.47,0.2,0.18,-0.31,0.3,-0.14,0.34,0.17,-0.1,-0.42,-0.37,-0.13,0.92,-0.1,0.45,-0.36,-0.22,0.71,0.86,-0.08,-0.44,0.09,0.04,-0.22,-0.06,0.35,0.1,-0.01,-0.34,0.38,-0.21,0.21,-0.12,0.02,-0.04,0.34,0.18,0.18,0.18
core_verb,-0.69,-0.44,-0.74,0.75,-0.18,0.18,-0.21,0.2,0.04,-0.06,0.38,-0.44,0.33,-0.34,-0.48,-0.78,-0.61,-0.38,0.48,-0.33,0.35,-0.06,0.27,0.2,0.01,-0.4,0.05,0.53,-0.29,1.0,0.21,0.42,0.23,0.76,-0.64,-0.18,0.26,-0.51,0.39,-0.08,0.63,-0.3,0.41,0.38,-0.82,-0.49,0.59,0.29,0.11,-0.29,-0.7,-0.3,-0.37,-0.48,-0.02,-0.49,-0.67,-0.23,0.34,0.47,0.2,-0.07,-0.08,-0.35,0.16,0.64,-0.49,-0.61,-0.76,-0.34,-0.34,0.71,-0.04,0.46,0.03,0.21,-0.3,-0.3
verbtype_ratio,-0.31,-0.34,0.1,0.26,0.24,0.47,0.03,-0.52,0.4,-0.18,0.75,-0.06,0.04,0.11,-0.41,-0.52,0.22,-0.2,0.08,0.16,0.79,0.41,0.05,0.33,-0.17,-0.56,-0.13,0.01,0.05,0.21,1.0,-0.07,-0.27,0.11,-0.59,0.24,0.28,-0.56,0.56,-0.29,0.02,0.27,0.78,0.8,-0.39,-0.44,0.05,0.41,0.73,-0.55,-0.55,0.0,0.01,0.15,0.13,0.03,-0.13,-0.02,0.82,-0.18,-0.1,-0.1,0.24,-0.56,0.32,0.4,-0.67,-0.11,-0.01,-0.33,-0.46,0.21,0.35,0.69,0.28,0.47,0.27,0.27
da_inf,-0.27,-0.25,-0.77,0.29,0.11,-0.3,0.16,0.33,-0.29,0.43,0.07,-0.13,0.15,-0.13,0.01,-0.21,-0.58,0.11,0.19,-0.44,-0.33,0.02,-0.07,0.26,0.19,-0.4,0.45,0.56,0.02,0.42,-0.07,1.0,0.33,0.08,-0.28,0.11,0.35,-0.29,0.33,-0.25,0.76,-0.15,0.13,0.33,-0.47,-0.26,0.17,-0.41,0.06,-0.17,-0.24,0.26,0.21,-0.3,-0.51,-0.07,-0.54,0.06,-0.14,0.27,0.5,-0.1,0.16,0.03,-0.37,0.65,-0.14,-0.31,-0.58,0.08,-0.47,0.58,-0.21,0.14,-0.2,-0.25,-0.15,-0.15
gerund,0.11,-0.06,-0.42,0.58,0.6,0.35,-0.13,0.84,-0.2,-0.27,0.05,0.32,-0.37,-0.1,0.19,0.06,-0.47,0.49,-0.33,-0.71,-0.09,-0.09,0.04,-0.33,-0.2,0.09,0.76,-0.22,-0.13,0.23,-0.27,0.33,1.0,-0.2,0.08,0.6,0.17,-0.15,-0.0,-0.43,-0.07,0.61,-0.0,-0.3,0.02,-0.13,-0.33,0.11,0.17,-0.11,-0.06,0.06,0.31,0.13,0.27,0.45,-0.16,-0.4,0.23,-0.26,0.34,0.83,0.35,-0.06,0.37,-0.18,-0.21,-0.07,-0.19,-0.1,-0.3,0.58,0.6,0.41,0.13,0.35,0.6,0.6
supine,-0.61,-0.45,-0.33,0.38,-0.38,-0.05,0.12,-0.1,-0.05,0.12,0.12,-0.53,0.44,-0.23,-0.39,-0.64,-0.13,-0.37,0.53,0.14,0.2,-0.44,0.28,0.25,0.27,-0.31,-0.43,0.44,0.03,0.76,0.11,0.08,-0.2,1.0,-0.52,-0.38,0.37,-0.42,0.35,0.55,0.63,-0.52,0.17,0.29,-0.69,-0.05,0.91,0.07,-0.34,-0.17,-0.44,-0.09,-0.67,-0.35,-0.21,-0.71,-0.31,0.27,0.05,0.59,-0.01,-0.41,-0.47,-0.11,0.15,0.46,-0.15,-0.54,-0.39,-0.16,-0.13,0.35,-0.2,0.01,-0.01,-0.02,-0.52,-0.52
verb_particle,0.6,0.8,0.23,-0.62,0.1,-0.11,-0.11,0.33,0.31,-0.23,-0.6,0.09,-0.56,-0.18,0.8,0.84,0.13,0.51,-0.54,-0.21,-0.34,-0.24,-0.33,-0.54,0.36,0.85,-0.01,-0.41,0.12,-0.64,-0.59,-0.28,0.08,-0.52,1.0,0.1,-0.19,0.86,-0.3,0.06,-0.41,0.17,-0.37,-0.64,0.63,0.62,-0.46,-0.07,-0.33,0.72,0.44,0.07,0.37,0.11,-0.18,0.11,0.45,0.13,-0.51,-0.09,-0.21,0.33,-0.09,0.66,-0.26,-0.65,0.78,0.21,0.21,0.03,0.37,-0.5,0.01,-0.48,-0.1,-0.13,0.16,0.16
discourse,0.37,-0.06,0.12,0.18,1.0,0.61,0.02,0.51,0.07,-0.12,0.22,0.46,-0.76,0.24,0.16,0.17,0.23,0.6,-0.78,-0.26,0.25,-0.11,-0.35,-0.45,-0.12,-0.06,0.38,-0.67,0.37,-0.18,0.24,0.11,0.6,-0.38,0.1,1.0,0.52,-0.35,0.17,-0.34,-0.15,0.91,0.24,0.19,0.18,-0.13,-0.52,0.22,0.31,-0.23,-0.12,0.57,0.21,0.31,0.22,0.58,0.17,0.07,0.42,-0.53,-0.11,0.74,0.11,-0.28,0.56,-0.27,-0.3,0.14,0.31,-0.03,-0.46,0.15,0.76,0.53,0.61,0.62,0.91,0.91
pres_tense,-0.35,-0.13,-0.13,0.29,0.52,0.3,0.5,0.2,0.04,0.0,0.38,-0.34,-0.28,-0.26,0.08,-0.34,0.25,0.53,-0.17,0.05,0.14,-0.31,-0.41,-0.16,0.58,-0.47,0.09,-0.02,0.77,0.26,0.28,0.35,0.17,0.37,-0.19,0.52,1.0,-0.53,0.74,0.29,0.55,0.26,0.19,0.53,-0.54,0.1,0.38,0.02,-0.14,-0.47,-0.5,0.77,-0.12,0.23,-0.43,-0.28,0.21,0.69,0.24,-0.14,0.19,0.15,-0.16,-0.15,0.42,0.39,-0.26,-0.57,-0.06,-0.34,-0.33,0.4,0.28,0.34,0.35,0.35,0.26,0.26
