,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,discourse,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc,yneemid,emoticons
punct,0.5,0.21,-0.71,-0.62,0.26,0.51,0.07,-0.27,-0.17,0.64,1.0,-0.02,0.45,-0.25,-0.75,-0.36,0.68,-0.67,0.15,-0.48,0.11,0.26,0.26,-0.04,0.32,0.16,0.26,0.26,-0.35,0.1,-0.04,-0.63,0.26,0.85,0.19,0.26,0.07,0.09,-0.06,-0.02,-0.86,0.26,-0.02,-0.48,0.62,-0.24,-0.52,-0.58,-0.11,0.04,0.98,-0.07,-0.88,0.26,0.9,0.16,-0.06,-0.44,0.17,0.03,0.79,0.26,-0.02,-0.22,0.51,-0.4,-0.07,0.34,0.19,0.55,-0.14,0.57,0.26,0.13,0.58,0.51,0.27,0.27
symbol,0.13,0.55,-0.51,0.66,0.94,-0.87,0.44,0.45,-0.08,0.4,-0.02,1.0,0.27,-0.9,-0.63,0.22,0.64,-0.73,0.04,-0.04,-0.02,0.94,0.94,0.82,0.71,0.98,0.94,0.94,-0.38,0.53,-0.37,0.49,0.94,-0.05,0.86,0.94,0.55,0.65,-0.16,1.0,0.27,0.94,1.0,-0.8,-0.47,0.21,-0.8,0.78,0.98,0.19,-0.22,1.0,0.02,0.94,-0.12,0.19,-0.77,-0.66,-0.34,0.99,0.34,0.94,1.0,0.37,-0.87,-0.82,1.0,-0.49,-0.95,0.13,-0.94,0.07,0.94,0.05,-0.77,-0.87,0.94,0.94
pron,-0.46,-0.43,-0.08,0.28,0.55,-0.05,0.91,0.73,0.73,-0.15,0.45,0.27,1.0,-0.08,-0.58,-0.87,0.77,-0.49,0.92,0.51,0.89,0.55,0.55,0.7,0.87,0.24,0.55,0.55,0.46,0.91,0.66,-0.67,0.55,0.82,-0.06,0.55,-0.52,0.86,0.77,0.27,-0.69,0.55,0.27,-0.16,-0.39,-0.85,-0.68,0.19,0.37,0.9,0.3,0.22,0.0,0.55,0.02,0.95,-0.78,0.12,0.77,0.16,0.87,0.55,0.27,-0.77,-0.05,-0.09,0.24,-0.66,-0.4,-0.41,-0.08,0.97,0.55,0.91,-0.21,-0.05,0.55,0.55
abbr,-0.54,-0.83,0.82,-0.28,-0.86,0.63,-0.12,-0.04,0.45,-0.75,-0.25,-0.9,-0.08,1.0,0.76,-0.41,-0.66,0.85,0.25,0.47,0.32,-0.86,-0.86,-0.54,-0.53,-0.97,-0.86,-0.86,0.73,-0.23,0.66,-0.48,-0.86,-0.01,-0.99,-0.86,-0.8,-0.36,0.49,-0.9,-0.15,-0.86,-0.9,0.97,0.04,-0.44,0.78,-0.46,-0.8,0.14,-0.1,-0.9,0.38,-0.86,-0.28,0.11,0.5,0.92,0.57,-0.96,-0.37,-0.86,-0.9,-0.57,0.63,0.98,-0.89,0.08,0.73,-0.54,0.99,0.06,-0.86,0.25,0.43,0.63,-0.86,-0.86
TTR,-0.4,-0.46,0.85,0.02,-0.83,0.17,-0.41,-0.14,0.11,-0.7,-0.75,-0.63,-0.58,0.76,1.0,0.19,-0.97,0.99,-0.22,0.33,-0.14,-0.83,-0.83,-0.55,-0.76,-0.75,-0.83,-0.83,0.45,-0.48,0.21,0.21,-0.83,-0.66,-0.68,-0.83,-0.35,-0.55,0.07,-0.63,0.52,-0.83,-0.63,0.87,-0.13,0.11,0.94,-0.09,-0.57,-0.22,-0.6,-0.59,0.63,-0.83,-0.59,-0.32,0.6,0.73,0.02,-0.65,-0.87,-0.83,-0.63,0.0,0.17,0.82,-0.59,0.11,0.49,-0.44,0.7,-0.54,-0.83,-0.2,0.07,0.17,-0.83,-0.83
avg_word_len,0.63,0.78,-0.28,-0.04,-0.07,-0.33,-0.74,-0.59,-0.85,0.46,-0.36,0.22,-0.87,-0.41,0.19,1.0,-0.4,0.06,-0.94,-0.64,-0.95,-0.07,-0.07,-0.33,-0.52,0.26,-0.07,-0.07,-0.74,-0.68,-0.91,0.88,-0.07,-0.79,0.54,-0.07,0.85,-0.58,-0.91,0.22,0.76,-0.07,0.22,-0.31,0.26,0.99,0.24,0.12,0.09,-0.86,-0.3,0.27,-0.11,-0.07,0.04,-0.89,0.43,-0.53,-0.97,0.35,-0.65,-0.07,0.22,0.98,-0.33,-0.39,0.25,0.51,-0.04,0.59,-0.43,-0.93,-0.07,-0.94,-0.09,-0.32,-0.07,-0.07
avr_sent_len,0.15,0.25,-0.68,0.14,0.86,-0.23,0.63,0.38,0.15,0.49,0.68,0.64,0.77,-0.66,-0.97,-0.4,1.0,-0.94,0.46,-0.08,0.39,0.86,0.86,0.7,0.89,0.71,0.86,0.86,-0.21,0.69,0.03,-0.32,0.86,0.73,0.55,0.86,0.14,0.73,0.18,0.64,-0.57,0.86,0.64,-0.75,-0.08,-0.34,-0.97,0.2,0.62,0.47,0.5,0.6,-0.45,0.86,0.41,0.55,-0.75,-0.55,0.2,0.61,0.94,0.86,0.64,-0.21,-0.23,-0.69,0.6,-0.34,-0.58,0.2,-0.62,0.71,0.86,0.44,-0.2,-0.23,0.87,0.87
hapax_legomena,-0.45,-0.57,0.88,-0.06,-0.87,0.29,-0.36,-0.13,0.2,-0.74,-0.67,-0.73,-0.49,0.85,0.99,0.06,-0.94,1.0,-0.12,0.38,-0.04,-0.87,-0.87,-0.57,-0.74,-0.84,-0.87,-0.87,0.54,-0.45,0.32,0.05,-0.87,-0.53,-0.78,-0.87,-0.47,-0.53,0.17,-0.73,0.38,-0.87,-0.73,0.93,-0.09,-0.01,0.95,-0.18,-0.65,-0.15,-0.5,-0.7,0.6,-0.87,-0.54,-0.24,0.6,0.81,0.16,-0.76,-0.79,-0.87,-0.73,-0.14,0.29,0.89,-0.69,0.12,0.58,-0.48,0.8,-0.43,-0.87,-0.11,0.17,0.29,-0.88,-0.88
coref,-0.76,-0.74,0.32,0.37,0.28,-0.01,0.91,0.82,0.94,-0.53,0.15,0.04,0.92,0.25,-0.22,-0.94,0.46,-0.12,1.0,0.79,1.0,0.28,0.28,0.6,0.69,-0.05,0.28,0.28,0.77,0.87,0.89,-0.68,0.28,0.65,-0.39,0.28,-0.78,0.79,0.96,0.04,-0.55,0.28,0.04,0.22,-0.55,-0.96,-0.37,0.22,0.2,0.98,0.04,0.0,0.33,0.28,-0.29,0.99,-0.67,0.49,0.93,-0.11,0.62,0.28,0.04,-0.91,-0.01,0.28,0.02,-0.77,-0.26,-0.73,0.23,0.9,0.28,1.0,-0.25,-0.01,0.28,0.28
see_pron,-1.0,-0.84,0.77,0.65,-0.0,-0.24,0.73,0.86,0.95,-0.9,-0.48,-0.04,0.51,0.47,0.33,-0.64,-0.08,0.38,0.79,1.0,0.82,-0.0,-0.0,0.48,0.35,-0.24,-0.0,-0.0,0.94,0.66,0.85,-0.27,-0.0,0.06,-0.55,-0.0,-0.79,0.58,0.9,-0.04,0.02,-0.0,-0.04,0.57,-0.83,-0.73,0.07,0.48,0.15,0.83,-0.54,-0.05,0.83,-0.0,-0.8,0.76,-0.48,0.77,0.75,-0.21,0.03,-0.0,-0.04,-0.71,-0.24,0.58,-0.03,-0.84,-0.26,-0.99,0.38,0.44,-0.0,0.8,-0.51,-0.24,-0.0,-0.0
see_det,-0.8,-0.79,0.39,0.36,0.21,0.03,0.89,0.81,0.96,-0.59,0.11,-0.02,0.89,0.32,-0.14,-0.95,0.39,-0.04,1.0,0.82,1.0,0.21,0.21,0.55,0.63,-0.12,0.21,0.21,0.82,0.84,0.92,-0.69,0.21,0.62,-0.46,0.21,-0.83,0.75,0.98,-0.02,-0.53,0.21,-0.02,0.29,-0.55,-0.97,-0.29,0.2,0.14,0.97,0.01,-0.06,0.37,0.21,-0.32,0.97,-0.62,0.56,0.95,-0.17,0.56,0.21,-0.02,-0.93,0.03,0.36,-0.04,-0.75,-0.21,-0.76,0.3,0.87,0.21,1.0,-0.23,0.03,0.21,0.21
1st_pron,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
2nd_pron,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
3rd_pron,-0.4,-0.01,-0.14,0.81,0.88,-0.75,0.87,0.86,0.5,-0.06,-0.04,0.82,0.7,-0.54,-0.55,-0.33,0.7,-0.57,0.6,0.48,0.55,0.88,0.88,1.0,0.93,0.73,0.88,0.88,0.19,0.91,0.23,0.06,0.88,0.24,0.43,0.88,-0.03,0.96,0.44,0.82,-0.01,0.88,0.82,-0.45,-0.76,-0.37,-0.79,0.81,0.91,0.72,-0.26,0.8,0.31,0.88,-0.36,0.71,-0.99,-0.19,0.25,0.72,0.54,0.88,0.82,-0.22,-0.75,-0.44,0.81,-0.87,-0.93,-0.38,-0.6,0.51,0.88,0.61,-0.82,-0.75,0.88,0.88
active_voice,-0.27,-0.03,-0.33,0.54,0.89,-0.48,0.89,0.76,0.49,0.1,0.32,0.71,0.87,-0.53,-0.76,-0.52,0.89,-0.74,0.69,0.35,0.63,0.89,0.89,0.93,1.0,0.68,0.89,0.89,0.13,0.93,0.29,-0.24,0.89,0.58,0.4,0.89,-0.09,0.96,0.48,0.71,-0.37,0.89,0.71,-0.53,-0.52,-0.51,-0.91,0.54,0.78,0.75,0.11,0.68,0.01,0.89,-0.04,0.79,-0.96,-0.26,0.38,0.62,0.82,0.89,0.71,-0.37,-0.48,-0.49,0.69,-0.73,-0.78,-0.23,-0.54,0.74,0.89,0.69,-0.54,-0.48,0.89,0.89
passive_voice,0.32,0.68,-0.69,0.48,0.94,-0.75,0.34,0.28,-0.23,0.59,0.16,0.98,0.24,-0.97,-0.75,0.26,0.71,-0.84,-0.05,-0.24,-0.12,0.94,0.94,0.73,0.68,1.0,0.94,0.94,-0.54,0.44,-0.49,0.44,0.94,0.04,0.93,0.94,0.65,0.56,-0.28,0.98,0.16,0.94,0.98,-0.91,-0.27,0.28,-0.85,0.63,0.92,0.08,-0.03,0.97,-0.2,0.94,0.1,0.1,-0.69,-0.8,-0.41,0.99,0.42,0.94,0.98,0.43,-0.75,-0.92,0.97,-0.32,-0.87,0.33,-0.98,0.07,0.94,-0.05,-0.6,-0.75,0.94,0.94
1st_prs_verb,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
2nd_prs_verb,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
3rd_prs_verb,-0.96,-0.97,0.85,0.34,-0.29,0.11,0.57,0.66,0.93,-0.94,-0.35,-0.38,0.46,0.73,0.45,-0.74,-0.21,0.54,0.77,0.94,0.82,-0.29,-0.29,0.19,0.13,-0.54,-0.29,-0.29,1.0,0.48,0.95,-0.49,-0.29,0.17,-0.8,-0.29,-0.95,0.36,0.92,-0.38,-0.17,-0.29,-0.38,0.77,-0.58,-0.81,0.28,0.14,-0.19,0.75,-0.34,-0.39,0.71,-0.29,-0.64,0.69,-0.22,0.92,0.86,-0.53,-0.0,-0.29,-0.38,-0.84,0.11,0.79,-0.37,-0.62,0.09,-0.95,0.67,0.47,-0.29,0.78,-0.18,0.11,-0.29,-0.29
core_verb,-0.6,-0.36,0.03,0.65,0.7,-0.44,0.99,0.93,0.76,-0.27,0.1,0.53,0.91,-0.23,-0.48,-0.68,0.69,-0.45,0.87,0.66,0.84,0.7,0.7,0.91,0.93,0.44,0.7,0.7,0.48,1.0,0.58,-0.32,0.7,0.51,0.09,0.7,-0.4,0.99,0.74,0.53,-0.32,0.7,0.53,-0.2,-0.72,-0.71,-0.7,0.59,0.66,0.93,-0.09,0.5,0.31,0.7,-0.32,0.93,-0.95,0.1,0.62,0.4,0.68,0.7,0.53,-0.59,-0.44,-0.16,0.51,-0.9,-0.7,-0.56,-0.27,0.79,0.7,0.87,-0.6,-0.45,0.7,0.7
verbtype_ratio,-0.87,-0.96,0.66,0.2,-0.18,0.25,0.66,0.64,0.95,-0.79,-0.04,-0.37,0.66,0.66,0.21,-0.91,0.03,0.32,0.89,0.85,0.92,-0.18,-0.18,0.23,0.29,-0.49,-0.18,-0.18,0.95,0.58,1.0,-0.72,-0.18,0.46,-0.76,-0.18,-0.98,0.45,0.97,-0.37,-0.46,-0.18,-0.37,0.63,-0.45,-0.95,0.09,-0.0,-0.2,0.83,-0.06,-0.4,0.47,-0.18,-0.4,0.82,-0.29,0.82,0.98,-0.52,0.28,-0.18,-0.37,-0.96,0.25,0.69,-0.38,-0.58,0.11,-0.84,0.64,0.7,-0.18,0.89,-0.03,0.25,-0.18,-0.18
da_inf,0.28,0.63,-0.09,0.43,0.16,-0.7,-0.38,-0.15,-0.54,0.2,-0.63,0.49,-0.67,-0.48,0.21,0.88,-0.32,0.05,-0.68,-0.27,-0.69,0.16,0.16,0.06,-0.24,0.44,0.16,0.16,-0.49,-0.32,-0.72,1.0,0.16,-0.87,0.58,0.16,0.73,-0.21,-0.65,0.49,0.93,0.16,0.49,-0.29,-0.22,0.83,0.1,0.56,0.43,-0.53,-0.65,0.54,0.27,0.16,-0.35,-0.6,0.06,-0.41,-0.83,0.55,-0.63,0.16,0.49,0.87,-0.7,-0.38,0.53,0.05,-0.42,0.23,-0.54,-0.82,0.16,-0.66,-0.53,-0.7,0.16,0.16
gerund,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
supine,-0.03,-0.26,-0.35,-0.32,0.3,0.44,0.51,0.21,0.37,0.18,0.85,-0.05,0.82,-0.01,-0.66,-0.79,0.73,-0.53,0.65,0.06,0.62,0.3,0.3,0.24,0.58,0.04,0.3,0.3,0.17,0.51,0.46,-0.87,0.3,1.0,-0.11,0.3,-0.39,0.46,0.48,-0.05,-0.97,0.3,-0.05,-0.21,0.21,-0.71,-0.56,-0.36,-0.03,0.54,0.78,-0.11,-0.5,0.3,0.54,0.64,-0.36,-0.04,0.64,-0.09,0.92,0.3,-0.05,-0.68,0.44,-0.11,-0.1,-0.12,0.06,0.03,0.07,0.91,0.3,0.63,0.35,0.44,0.3,0.3
verb_particle,0.61,0.89,-0.81,0.23,0.77,-0.62,-0.02,-0.07,-0.56,0.78,0.19,0.86,-0.06,-0.99,-0.68,0.54,0.55,-0.78,-0.39,-0.55,-0.46,0.77,0.77,0.43,0.4,0.93,0.77,0.77,-0.8,0.09,-0.76,0.58,0.77,-0.11,1.0,0.77,0.88,0.23,-0.6,0.86,0.25,0.77,0.86,-0.95,0.02,0.57,-0.68,0.42,0.74,-0.28,0.06,0.86,-0.39,0.77,0.29,-0.25,-0.39,-0.94,-0.69,0.93,0.24,0.77,0.86,0.69,-0.62,-0.97,0.85,0.02,-0.67,0.61,-0.98,-0.2,0.77,-0.39,-0.39,-0.62,0.77,0.77
discourse,0.09,0.42,-0.59,0.54,1.0,-0.69,0.62,0.52,0.07,0.43,0.26,0.94,0.55,-0.86,-0.83,-0.07,0.86,-0.87,0.28,-0.0,0.21,1.0,1.0,0.88,0.89,0.94,1.0,1.0,-0.29,0.7,-0.18,0.16,1.0,0.3,0.77,1.0,0.38,0.79,0.03,0.94,-0.08,1.0,0.94,-0.82,-0.4,-0.06,-0.95,0.63,0.93,0.39,0.04,0.92,-0.13,1.0,0.06,0.42,-0.87,-0.63,-0.09,0.91,0.64,1.0,0.94,0.1,-0.69,-0.81,0.92,-0.53,-0.9,0.11,-0.87,0.39,1.0,0.28,-0.62,-0.69,1.0,1.0
pres_tense,0.82,0.99,-0.73,-0.05,0.38,-0.4,-0.49,-0.49,-0.87,0.81,0.07,0.55,-0.52,-0.8,-0.35,0.85,0.14,-0.47,-0.78,-0.79,-0.83,0.38,0.38,-0.03,-0.09,0.65,0.38,0.38,-0.95,-0.4,-0.98,0.73,0.38,-0.39,0.88,0.38,1.0,-0.26,-0.91,0.55,0.44,0.38,0.55,-0.76,0.32,0.88,-0.27,0.15,0.39,-0.7,0.04,0.57,-0.45,0.38,0.36,-0.68,0.09,-0.9,-0.94,0.68,-0.15,0.38,0.55,0.94,-0.4,-0.81,0.56,0.43,-0.3,0.8,-0.78,-0.59,0.38,-0.78,-0.12,-0.4,0.37,0.37
