,noun,adj,propn,adv,intj,cconj,sconj,adp,det,num,punct,symbol,particle,pron,abbr,TTR,avg_word_len,avr_sent_len,hapax_legomena,coref,see_pron,see_det,1st_pron,2nd_pron,3rd_pron,active_voice,passive_voice,1st_prs_verb,2nd_prs_verb,3rd_prs_verb,core_verb,verbtype_ratio,da_inf,gerund,supine,verb_particle,pres_tense,past_tense,ind_mood,cond_mood,imp_mood,quot_mood,neg_polarity,nom_case,gen_case,part_case,ill_case,ine_case,ela_case,alla_case,ade_case,abl_case,tra_case,ter_case,ess_case,abe_case,com_case,nsubj,nsubj_cop,modal,acl:relc,csubj,csubj_cop,obj,ccomp,xcomp,obl,nmod,appos,nummod,amod,advcl,voc,cop,conj,cc
punct,-0.15,-0.07,0.05,-0.15,-0.14,-0.04,-0.31,-0.53,-0.08,0.21,1.0,0.11,-0.11,-0.2,-0.26,-0.49,-0.11,-0.25,-0.38,0.01,0.12,0.02,-0.18,-0.05,-0.41,-0.08,-0.03,0.48,0.0,-0.58,-0.01,0.41,-0.1,-0.33,-0.45,-0.02,0.08,-0.02,0.08,0.14,0.04,-0.11,0.03,-0.46,-0.02,0.24,-0.4,-0.04,-0.1,0.3,-0.02,-0.07,0.22,0.04,0.08,-0.03,-0.26,-0.59,0.1,-0.27,0.13,0.03,-0.1,0.12,-0.06,-0.15,-0.06,-0.37,0.01,0.13,-0.13,-0.26,-0.06,0.14,0.01,-0.04
symbol,0.16,0.37,0.42,0.01,0.34,-0.15,-0.4,0.22,0.08,0.12,0.11,1.0,0.88,-0.15,0.03,0.39,0.19,-0.21,0.47,-0.1,-0.19,0.01,0.11,-0.13,0.0,0.31,-0.05,0.73,-0.32,-0.26,0.34,0.12,-0.15,0.3,-0.02,0.43,-0.48,0.64,0.49,-0.34,-0.01,0.88,-0.18,-0.32,0.58,0.31,0.11,-0.24,0.32,0.2,0.33,0.39,0.47,0.89,0.54,0.65,0.57,-0.14,-0.36,0.18,-0.04,0.58,0.45,0.51,-0.29,0.02,0.41,0.27,0.51,0.41,0.62,-0.04,0.81,-0.35,0.04,-0.16
particle,-0.04,0.39,0.56,0.17,0.44,-0.2,-0.19,0.35,0.06,0.02,-0.11,0.88,1.0,0.04,0.11,0.61,0.06,-0.28,0.66,0.04,-0.03,-0.04,0.25,-0.1,0.11,0.24,-0.08,0.4,-0.28,0.02,0.53,-0.05,0.02,0.44,-0.06,0.53,-0.35,0.5,0.34,-0.32,0.04,1.0,-0.05,0.05,0.46,-0.09,0.02,-0.09,0.36,-0.12,0.15,0.49,0.41,0.76,0.65,0.85,0.64,0.13,-0.19,0.45,0.04,0.73,0.58,0.19,-0.31,-0.04,0.2,0.39,0.52,0.21,0.54,0.16,0.93,-0.16,-0.06,-0.21
pron,-0.66,-0.47,0.02,0.18,0.01,-0.14,0.45,0.48,0.28,-0.54,-0.2,-0.15,0.04,1.0,-0.33,-0.22,-0.52,0.25,-0.33,0.91,0.55,0.15,0.8,0.07,0.72,0.17,-0.32,0.01,-0.07,0.24,0.12,0.15,-0.07,-0.03,0.09,-0.1,-0.05,0.07,0.28,-0.23,-0.2,0.04,-0.06,0.12,0.19,-0.37,0.1,0.05,-0.15,-0.34,0.01,0.03,-0.14,-0.13,0.03,0.09,0.07,0.5,0.22,-0.01,0.07,0.1,-0.12,-0.03,-0.04,0.1,-0.01,0.12,-0.26,-0.49,-0.53,0.23,0.1,0.08,-0.26,-0.14
abbr,-0.0,0.25,-0.07,0.22,0.02,0.24,0.02,-0.01,-0.17,0.36,-0.26,0.03,0.11,-0.33,1.0,0.42,-0.08,-0.09,0.34,-0.3,-0.29,-0.13,-0.1,0.18,-0.36,-0.2,-0.09,-0.19,0.34,-0.19,0.05,-0.34,0.38,0.16,0.05,0.03,-0.05,-0.08,-0.41,0.05,0.29,0.11,0.36,0.18,-0.34,-0.0,0.05,-0.26,0.04,-0.22,-0.1,0.25,-0.1,-0.08,-0.04,0.01,-0.16,-0.02,-0.09,0.2,-0.17,-0.07,0.13,-0.32,0.24,0.23,-0.23,-0.21,0.35,0.25,0.31,-0.1,0.03,0.01,0.14,0.25
TTR,0.25,0.42,0.41,0.2,0.33,-0.01,-0.17,0.09,-0.06,0.1,-0.49,0.39,0.61,-0.22,0.42,1.0,0.34,-0.39,0.92,-0.35,-0.27,-0.06,-0.06,0.04,-0.01,-0.03,0.18,-0.18,0.01,0.25,0.25,-0.45,0.24,0.37,-0.07,0.51,-0.17,0.21,-0.1,-0.12,0.02,0.61,0.06,0.21,0.19,-0.3,-0.1,0.05,0.63,-0.14,0.28,0.18,0.25,0.44,0.4,0.54,0.43,0.22,-0.18,0.44,0.04,0.37,0.49,-0.02,-0.06,-0.25,0.09,0.42,0.42,0.19,0.57,0.16,0.5,-0.18,-0.13,-0.02
avg_word_len,0.76,0.05,0.38,-0.39,0.02,-0.2,-0.27,-0.27,0.12,0.17,-0.11,0.19,0.06,-0.52,-0.08,0.34,1.0,0.02,0.39,-0.63,-0.2,0.23,-0.41,-0.16,-0.18,0.12,0.44,0.01,-0.14,0.01,-0.24,-0.25,-0.13,-0.11,-0.08,0.44,0.1,0.06,0.01,-0.01,0.01,0.06,0.02,-0.01,0.33,0.23,-0.11,0.12,0.09,0.41,0.34,-0.18,0.11,0.31,0.06,0.03,0.24,0.1,-0.47,0.19,-0.04,-0.03,-0.15,0.41,-0.23,-0.26,0.25,0.4,0.49,0.22,0.27,-0.03,-0.02,-0.47,-0.01,-0.2
avr_sent_len,0.01,-0.2,-0.22,-0.36,-0.13,-0.03,0.49,0.2,0.3,-0.2,-0.25,-0.21,-0.28,0.25,-0.09,-0.39,0.02,1.0,-0.41,0.12,0.1,0.21,0.24,0.08,0.21,0.16,-0.2,-0.02,0.01,-0.01,-0.16,-0.28,0.16,0.11,0.37,-0.14,0.02,-0.07,0.04,-0.41,0.01,-0.28,-0.0,0.05,0.08,0.16,0.43,-0.16,-0.44,0.06,-0.22,0.05,-0.18,-0.21,-0.22,-0.38,-0.12,0.28,-0.18,-0.07,-0.33,-0.11,-0.22,0.13,0.05,0.48,0.0,0.01,-0.12,-0.18,-0.26,0.13,-0.21,-0.13,0.38,-0.02
hapax_legomena,0.26,0.41,0.5,0.25,0.33,0.05,-0.23,0.11,-0.08,0.08,-0.38,0.47,0.66,-0.33,0.34,0.92,0.39,-0.41,1.0,-0.39,-0.18,-0.13,-0.14,-0.03,-0.12,0.03,0.2,-0.11,-0.05,0.25,0.23,-0.36,0.17,0.3,-0.12,0.58,-0.11,0.21,-0.01,-0.14,0.01,0.66,-0.04,0.2,0.14,-0.27,-0.15,0.06,0.58,-0.11,0.16,0.18,0.35,0.52,0.39,0.58,0.45,0.12,-0.24,0.45,-0.09,0.5,0.49,-0.03,-0.04,-0.29,0.06,0.35,0.46,0.17,0.56,0.1,0.52,-0.19,0.02,0.05
coref,-0.83,-0.46,0.04,0.29,0.06,0.0,0.3,0.39,0.16,-0.43,0.01,-0.1,0.04,0.91,-0.3,-0.35,-0.63,0.12,-0.39,1.0,0.6,-0.01,0.68,0.07,0.61,0.22,-0.37,0.11,-0.01,0.14,0.13,0.36,-0.1,-0.15,0.08,-0.15,0.03,0.02,0.32,-0.11,-0.15,0.04,-0.06,0.06,-0.01,-0.27,0.08,-0.1,-0.16,-0.35,-0.1,0.05,-0.09,-0.15,-0.05,0.04,0.09,0.28,0.29,-0.08,0.06,0.17,-0.15,-0.05,0.05,0.2,-0.13,-0.14,-0.22,-0.39,-0.56,0.02,0.07,0.17,-0.12,-0.01
see_pron,-0.57,-0.68,0.45,0.24,-0.24,-0.13,0.11,0.04,0.05,-0.34,0.12,-0.19,-0.03,0.55,-0.29,-0.27,-0.2,0.1,-0.18,0.6,1.0,-0.03,0.23,-0.02,0.38,0.39,-0.18,-0.12,-0.07,0.36,0.24,0.06,0.05,-0.43,-0.13,0.3,0.38,-0.13,0.31,-0.1,-0.1,-0.03,0.01,0.1,-0.1,-0.4,-0.08,0.13,-0.23,-0.27,0.01,0.07,0.26,-0.24,0.09,0.08,-0.2,0.32,0.1,0.32,-0.05,0.27,-0.16,-0.07,-0.09,-0.03,-0.15,-0.16,0.04,-0.41,-0.69,-0.06,0.01,0.18,0.05,-0.13
see_det,0.12,-0.14,0.32,-0.51,-0.09,-0.13,0.07,-0.11,0.83,-0.14,0.02,0.01,-0.04,0.15,-0.13,-0.06,0.23,0.21,-0.13,-0.01,-0.03,1.0,0.36,-0.19,-0.08,-0.09,0.1,0.2,-0.26,-0.27,-0.16,-0.18,-0.13,-0.09,-0.09,0.14,-0.31,0.26,-0.15,-0.09,0.03,-0.04,0.0,0.13,0.35,0.18,-0.1,0.48,-0.1,0.15,0.05,0.06,-0.11,0.07,0.12,-0.07,0.02,0.01,-0.07,0.1,0.09,-0.08,-0.08,0.28,-0.04,-0.03,0.12,0.28,0.21,-0.07,-0.2,-0.03,0.04,-0.19,-0.15,-0.14
1st_pron,-0.43,-0.2,0.03,-0.01,0.06,-0.13,0.34,0.55,0.54,-0.35,-0.18,0.11,0.25,0.8,-0.1,-0.06,-0.41,0.24,-0.14,0.68,0.23,0.36,1.0,-0.23,0.5,0.05,-0.32,0.29,-0.29,0.05,-0.01,0.18,-0.11,0.03,-0.06,-0.06,-0.46,0.42,0.29,-0.42,-0.14,0.25,-0.16,0.13,0.38,-0.18,-0.02,0.07,-0.13,-0.29,0.06,0.15,-0.12,0.07,0.24,0.25,0.18,0.44,0.08,-0.13,0.06,0.08,0.05,0.0,-0.05,0.16,0.14,0.25,-0.08,-0.25,-0.23,0.08,0.19,-0.06,-0.25,-0.14
2nd_pron,-0.24,-0.13,-0.16,0.39,0.19,0.11,0.38,-0.17,-0.37,-0.29,-0.05,-0.13,-0.1,0.07,0.18,0.04,-0.16,0.08,-0.03,0.07,-0.02,-0.19,-0.23,1.0,-0.09,-0.01,0.13,-0.2,0.67,-0.25,0.13,-0.29,0.11,0.12,0.41,-0.04,0.31,-0.36,-0.21,0.18,-0.16,-0.1,0.19,-0.19,-0.22,-0.03,0.41,-0.12,0.01,-0.1,-0.21,0.01,-0.07,-0.09,-0.24,-0.1,-0.25,-0.05,0.01,0.2,-0.13,-0.08,-0.05,0.07,0.11,-0.02,-0.29,-0.24,0.01,-0.26,0.02,0.42,0.04,-0.05,-0.06,0.11
3rd_pron,-0.32,-0.42,0.06,0.11,-0.08,-0.34,0.32,0.56,0.11,-0.24,-0.41,0.0,0.11,0.72,-0.36,-0.01,-0.18,0.21,-0.12,0.61,0.38,-0.08,0.5,-0.09,1.0,0.42,-0.35,0.01,-0.02,0.39,0.13,0.13,-0.09,-0.05,0.25,-0.08,-0.02,0.13,0.44,-0.15,-0.04,0.11,-0.07,0.0,0.28,-0.31,0.27,-0.05,-0.07,-0.15,0.36,-0.02,0.05,0.1,0.04,0.1,0.24,0.58,-0.12,0.01,-0.1,0.12,-0.1,0.14,-0.24,0.13,0.3,0.23,-0.21,-0.19,-0.28,0.24,0.08,-0.16,-0.24,-0.34
active_voice,-0.17,-0.4,0.44,-0.11,0.05,-0.26,-0.24,0.18,0.13,0.08,-0.08,0.31,0.24,0.17,-0.2,-0.03,0.12,0.16,0.03,0.22,0.39,-0.09,0.05,-0.01,0.42,1.0,-0.04,0.23,0.12,0.3,0.54,0.0,-0.14,-0.25,0.57,0.4,0.07,0.34,0.64,0.07,0.25,0.24,-0.31,-0.12,0.06,-0.13,0.6,-0.01,-0.02,0.36,0.29,0.2,0.52,0.24,-0.01,0.11,0.02,0.25,-0.24,0.38,-0.16,0.16,0.0,0.4,-0.37,0.45,0.44,-0.29,0.14,0.18,-0.19,-0.01,0.2,-0.12,0.15,-0.25
passive_voice,0.41,0.12,0.11,-0.29,-0.11,0.04,-0.17,-0.36,0.11,-0.08,-0.03,-0.05,-0.08,-0.32,-0.09,0.18,0.44,-0.2,0.2,-0.37,-0.18,0.1,-0.32,0.13,-0.35,-0.04,1.0,-0.18,0.06,0.06,-0.07,-0.1,-0.19,-0.05,-0.05,0.23,0.0,0.13,0.13,0.03,-0.07,-0.08,0.15,0.12,-0.05,0.19,-0.06,0.08,0.1,0.29,0.03,-0.19,0.11,0.13,-0.07,-0.09,-0.0,-0.01,0.13,0.24,0.23,-0.14,-0.15,0.19,-0.04,-0.2,0.12,0.03,-0.03,0.05,0.17,0.06,-0.04,-0.05,-0.17,0.04
1st_prs_verb,0.06,0.06,0.09,-0.15,0.08,-0.05,-0.38,0.09,0.24,0.04,0.48,0.73,0.4,0.01,-0.19,-0.18,0.01,-0.02,-0.11,0.11,-0.12,0.2,0.29,-0.2,0.01,0.23,-0.18,1.0,-0.33,-0.57,-0.07,0.46,-0.33,-0.11,-0.12,0.06,-0.54,0.62,0.55,-0.35,-0.15,0.4,-0.35,-0.66,0.6,0.57,0.04,-0.29,0.06,0.34,0.38,0.16,0.34,0.63,0.27,0.24,0.23,-0.34,-0.35,-0.34,-0.06,0.18,0.08,0.66,-0.12,0.08,0.45,0.03,0.22,0.31,0.29,-0.29,0.36,-0.42,0.03,-0.06
2nd_prs_verb,-0.24,-0.22,-0.17,0.08,-0.09,-0.0,0.33,-0.09,-0.31,0.26,0.0,-0.32,-0.28,-0.07,0.34,0.01,-0.14,0.01,-0.05,-0.01,-0.07,-0.26,-0.29,0.67,-0.02,0.12,0.06,-0.33,1.0,-0.17,0.15,-0.19,0.24,-0.12,0.4,-0.2,0.51,-0.49,-0.26,0.45,0.49,-0.28,0.29,-0.01,-0.44,-0.25,0.28,-0.16,-0.08,0.12,-0.27,0.01,-0.06,-0.22,-0.49,-0.22,-0.32,0.03,-0.08,0.19,-0.34,-0.24,-0.27,-0.13,0.04,0.17,-0.26,-0.42,-0.17,0.04,-0.08,0.4,-0.21,-0.06,-0.05,0.01
3rd_prs_verb,-0.04,-0.15,0.15,0.14,-0.05,-0.05,-0.02,0.3,-0.07,-0.07,-0.58,-0.26,0.02,0.24,-0.19,0.25,0.01,-0.01,0.25,0.14,0.36,-0.27,0.05,-0.25,0.39,0.3,0.06,-0.57,-0.17,1.0,0.26,-0.12,-0.01,-0.03,0.22,0.13,0.12,0.01,0.19,0.01,0.01,0.02,-0.27,0.52,-0.17,-0.57,0.16,0.31,0.14,-0.25,-0.04,-0.02,0.01,-0.27,0.03,0.11,0.14,0.48,0.26,0.29,0.0,0.02,0.21,-0.36,-0.11,-0.02,0.0,0.19,-0.24,-0.08,-0.25,0.1,-0.03,0.31,0.08,-0.04
core_verb,-0.34,0.02,0.47,0.07,0.24,-0.36,-0.1,0.14,-0.11,0.14,-0.01,0.34,0.53,0.12,0.05,0.25,-0.24,-0.16,0.23,0.13,0.24,-0.16,-0.01,0.13,0.13,0.54,-0.07,-0.07,0.15,0.26,1.0,-0.28,0.24,0.32,0.31,0.43,0.09,0.15,0.18,0.18,0.42,0.53,0.06,0.19,-0.09,-0.43,0.34,0.12,0.17,0.09,-0.1,0.43,0.37,0.23,0.32,0.52,0.03,0.17,0.12,0.73,0.1,0.46,0.42,-0.08,-0.46,0.28,0.16,-0.15,0.13,0.07,0.02,0.34,0.61,0.29,-0.05,-0.36
verbtype_ratio,-0.16,-0.21,-0.24,0.1,-0.32,0.19,-0.28,0.09,0.03,0.13,0.41,0.12,-0.05,0.15,-0.34,-0.45,-0.25,-0.28,-0.36,0.36,0.06,-0.18,0.18,-0.29,0.13,0.0,-0.1,0.46,-0.19,-0.12,-0.28,1.0,-0.71,-0.5,-0.14,-0.51,-0.22,0.21,0.51,-0.03,-0.11,-0.05,-0.19,-0.23,0.01,0.3,-0.12,-0.11,-0.12,0.01,0.09,-0.34,-0.0,0.07,-0.02,-0.09,0.15,-0.36,0.26,-0.55,-0.07,-0.18,-0.07,0.0,0.15,-0.05,-0.04,-0.12,-0.26,0.27,-0.16,-0.42,-0.07,0.1,0.04,0.18
da_inf,-0.16,0.27,0.07,0.03,0.32,-0.2,0.3,-0.03,-0.31,0.03,-0.1,-0.15,0.02,-0.07,0.38,0.24,-0.13,0.16,0.17,-0.1,0.05,-0.13,-0.11,0.11,-0.09,-0.14,-0.19,-0.33,0.24,-0.01,0.24,-0.71,1.0,0.47,-0.15,0.3,0.3,-0.33,-0.48,-0.01,0.24,0.02,0.32,0.12,-0.19,-0.3,-0.15,-0.33,0.1,-0.14,-0.24,0.48,-0.04,-0.15,0.09,0.11,-0.12,0.24,-0.23,0.31,0.09,0.32,0.05,-0.14,-0.14,0.16,-0.03,-0.07,0.12,-0.26,0.13,0.28,-0.02,-0.01,-0.09,-0.2
gerund,0.1,0.67,-0.08,0.01,0.61,-0.12,0.26,0.3,-0.17,-0.15,-0.33,0.3,0.44,-0.03,0.16,0.37,-0.11,0.11,0.3,-0.15,-0.43,-0.09,0.03,0.12,-0.05,-0.25,-0.05,-0.11,-0.12,-0.03,0.32,-0.5,0.47,1.0,0.06,0.15,-0.15,-0.0,-0.32,-0.14,0.02,0.44,0.18,0.18,0.19,-0.05,0.09,-0.2,0.21,-0.08,-0.27,0.38,-0.22,0.31,0.19,0.35,0.38,0.15,-0.02,0.23,0.21,0.43,0.32,-0.05,-0.14,0.06,0.08,0.33,0.07,-0.13,0.52,0.48,0.47,0.03,-0.09,-0.12
supine,-0.07,-0.19,-0.15,0.03,0.11,-0.06,0.16,0.31,-0.01,0.02,-0.45,-0.02,-0.06,0.09,0.05,-0.07,-0.08,0.37,-0.12,0.08,-0.13,-0.09,-0.06,0.41,0.25,0.57,-0.05,-0.12,0.4,0.22,0.31,-0.14,-0.15,0.06,1.0,-0.18,0.02,0.04,0.14,0.25,0.22,-0.06,-0.22,0.04,-0.19,0.06,0.95,-0.0,-0.12,0.11,-0.14,0.07,-0.05,-0.1,-0.37,-0.17,-0.06,0.17,-0.09,0.21,-0.31,-0.23,-0.01,0.13,-0.15,0.6,0.13,-0.24,-0.1,0.11,-0.01,0.25,0.0,-0.08,0.18,-0.05
verb_particle,0.06,0.11,0.82,-0.06,0.41,-0.18,-0.26,-0.18,0.12,-0.15,-0.02,0.43,0.53,-0.1,0.03,0.51,0.44,-0.14,0.58,-0.15,0.3,0.14,-0.06,-0.04,-0.08,0.4,0.23,0.06,-0.2,0.13,0.43,-0.51,0.3,0.15,-0.18,1.0,0.1,0.23,0.14,-0.13,-0.06,0.53,0.01,0.08,0.24,-0.26,-0.13,0.1,0.29,0.13,0.28,0.35,0.52,0.41,0.42,0.45,0.18,0.24,-0.25,0.63,0.28,0.58,0.2,0.31,-0.25,-0.12,0.23,0.09,0.61,-0.09,0.13,0.01,0.43,-0.11,-0.02,-0.18
pres_tense,-0.19,-0.25,0.12,0.08,-0.01,-0.06,0.24,-0.18,-0.38,-0.03,0.08,-0.48,-0.35,-0.05,-0.05,-0.17,0.1,0.02,-0.11,0.03,0.38,-0.31,-0.46,0.31,-0.02,0.07,0.0,-0.54,0.51,0.12,0.09,-0.22,0.3,-0.15,0.02,0.1,1.0,-0.88,-0.36,0.49,0.28,-0.35,0.33,0.22,-0.42,-0.4,-0.13,-0.05,-0.26,-0.07,-0.28,-0.09,0.02,-0.44,-0.42,-0.16,-0.31,0.23,-0.07,0.3,0.04,0.04,-0.5,-0.21,-0.01,0.01,-0.45,-0.3,-0.02,-0.37,-0.33,0.22,-0.29,0.07,0.03,-0.05
past_tense,0.15,0.09,0.21,-0.17,0.01,-0.07,-0.41,0.15,0.42,0.05,-0.02,0.64,0.5,0.07,-0.08,0.21,0.06,-0.07,0.21,0.02,-0.13,0.26,0.42,-0.36,0.13,0.34,0.13,0.62,-0.49,0.01,0.15,0.21,-0.33,-0.0,0.04,0.23,-0.88,1.0,0.67,-0.47,-0.18,0.5,-0.39,-0.25,0.47,0.3,0.21,0.05,0.29,0.26,0.45,0.17,0.31,0.6,0.48,0.28,0.33,-0.11,-0.03,-0.06,-0.01,0.12,0.46,0.41,-0.17,0.06,0.63,0.2,0.13,0.42,0.25,-0.24,0.41,-0.12,-0.02,-0.08
